Clock Time (s),Elapsed Time (s),ar,atheta,aphi,gx,gy,gz,mx,my,mz,
54989.4,74.70000000000437,0.9183681179135086,4.4674103172578254,0.1350985907234132,0.03,0.08,0.02,5.24,6.50,11.71,
54989.5,74.80000000000291,0.9209234495874237,4.570491925780526,0.15417478506889953,0.01,0.07,0.02,6.63,6.13,12.34,
54989.6,74.90000000000146,0.9064215354899728,4.331882603272325,0.11910392227398277,-0.00,-0.01,0.01,7.68,5.06,12.19,
54989.7,75.0,0.9381897462667134,4.4674103172578254,0.13222735514171005,-0.01,0.08,-0.03,6.10,5.65,12.22,
54989.8,75.10000000000582,0.9192388155425119,4.317597860684928,0.1418970546041639,0.00,0.04,0.01,7.03,4.72,12.68,
54989.9,75.20000000000437,0.9185858696931932,4.21304225870456,0.13683150961541046,-0.00,0.02,0.03,6.95,5.82,13.39,
54990.0,75.30000000000291,0.9198369420718001,4.2487413713838835,0.14637854600869074,-0.00,0.02,0.02,5.75,5.31,13.22,
54990.1,75.40000000000146,0.9093404203047394,4.317597860684928,0.14345226330365876,-0.02,0.00,0.01,7.43,5.64,11.57,
54990.2,75.5,0.9291393867445293,4.317597860684928,0.14037498576433333,-0.02,0.00,-0.00,7.81,7.36,14.23,
54990.3,75.60000000000582,0.9185858696931932,4.21304225870456,0.13683150961541046,-0.02,0.01,0.02,8.15,6.33,12.89,
54990.4,75.70000000000437,0.9192388155425119,4.317597860684928,0.1418970546041639,-0.02,0.01,0.01,7.88,5.49,11.68,
54990.5,75.80000000000291,0.9187491496594705,4.3906384259880475,0.13811622311931224,-0.03,-0.03,0.00,5.58,4.79,13.06,
54990.6,75.90000000000146,0.9304837451562493,4.345215146566471,0.15025448379459394,-0.00,-0.01,-0.01,7.12,5.31,12.89,
54990.7,76.0,0.928654941299512,4.3906384259880475,0.13663367490396947,-0.01,0.02,0.01,6.48,5.65,13.60,
54990.8,76.10000000000582,0.9396275858019496,4.2487413713838835,0.1432739839906046,-0.01,0.17,-0.01,6.44,4.28,12.89,
54990.9,76.20000000000437,0.9198369420718001,4.2487413713838835,0.14637854600869074,-0.00,0.14,0.05,8.32,5.81,12.71,
54991.0,76.30000000000291,0.9192932067626738,4.145659762861183,0.14231062041123144,0.01,0.00,0.01,7.16,4.27,12.26,
54991.1,76.40000000000146,0.9317725044236925,4.218447611465108,0.15913027204530597,-0.02,0.02,0.03,5.92,5.82,11.71,
54991.2,76.5,0.9192388155425119,4.317597860684928,0.1418970546041639,-0.00,-0.01,0.02,8.35,6.05,12.66,
54991.3,76.60000000000582,0.9222797840135064,4.068887871591405,0.1633661481082759,0.01,0.03,-0.02,6.78,5.99,12.22,
54991.4,76.70000000000437,0.9187491496594705,4.3906384259880475,0.13811622311931224,0.01,-0.00,-0.01,8.66,6.50,13.39,
54991.5,76.80000000000291,0.9075791976461338,4.363617976800782,0.12932635706372853,0.05,0.04,0.04,8.28,5.26,13.11,
54991.6,76.90000000000146,0.9012768719988326,4.026659469478403,0.1583558386104903,0.02,0.03,-0.00,6.61,6.16,12.72,
54991.7,77.0,0.917442096265481,4.171969480114106,0.12745806493446302,-0.01,0.02,-0.00,7.68,5.07,12.30,
54991.8,77.10000000000582,0.9291931984253867,4.145659762861183,0.14078423377056948,-0.03,0.03,0.00,7.98,5.13,12.05,
54991.9,77.20000000000437,0.9114823092084674,4.124386376837122,0.15889581781538478,-0.03,-0.04,0.01,8.23,5.47,12.81,
54992.0,77.30000000000291,0.9086803618434813,4.21304225870456,0.13833264231871334,-0.03,0.01,0.01,7.30,4.79,12.38,
54992.1,77.40000000000146,0.9120307012376283,4.218447611465108,0.1626051516952973,-0.01,0.03,0.02,7.64,5.48,13.06,
54992.2,77.5,0.9185858696931932,4.21304225870456,0.13683150961541046,-0.01,-0.01,-0.00,8.01,5.65,12.82,
54992.3,77.60000000000582,0.9185858696931932,4.21304225870456,0.13683150961541046,-0.02,0.02,0.00,6.95,5.82,13.06,
54992.4,77.70000000000437,0.9205433178292046,4.1843145319583295,0.1514945175535697,-0.01,-0.01,0.00,7.81,6.67,12.55,
54992.5,77.80000000000291,0.9365361712181757,4.621729093183944,0.11821357072997432,-0.02,0.14,-0.02,6.78,5.65,13.22,
54992.6,77.90000000000146,0.9543060305792895,4.601731759210794,0.09503271922239363,-0.05,0.35,-0.14,9.18,5.65,13.56,
54992.7,78.0,1.0507616285342742,4.068887871591405,0.1432429488116868,-0.04,0.24,-0.06,9.86,5.99,14.90,
54992.8,78.10000000000582,1.2525973016097391,4.588033985837928,0.0644088472481101,0.63,-0.63,-0.24,9.63,7.44,15.31,
54992.9,78.20000000000437,1.2210651088291729,3.3389882134396736,0.041770930825432595,1.18,-0.06,-0.32,8.66,4.11,14.73,
54993.0,78.30000000000291,0.9740636529508736,2.896613990462929,0.1701352568432275,1.53,-0.44,-0.32,7.60,-0.19,14.36,
54993.1,78.40000000000146,0.8343260753446462,2.498091544796509,0.24207169457111893,1.35,-0.61,-0.18,4.73,-2.55,13.86,
54993.2,78.5,0.7258787777583803,1.9100889412489412,0.5198101172940727,0.78,-0.86,0.09,2.16,-5.82,13.06,
54993.3,78.60000000000582,0.6669332800213227,1.460139105621001,0.5741316931726385,0.13,-0.68,0.53,-1.93,-8.29,12.91,
54993.4,78.70000000000437,0.6442049363362563,1.5374753309166493,0.4847068087268175,-0.59,-0.13,0.75,-3.99,-7.23,14.32,
54993.5,78.80000000000291,0.771816040258299,0.6146629519221655,0.5695020281069693,-0.31,-1.45,0.39,-5.02,-4.45,15.07,
54993.6,78.90000000000146,1.1412712210513327,0.32175055439664224,0.5873626374587598,-0.08,-0.57,0.09,-10.89,-4.18,16.48,
54993.7,79.0,0.9087353850269065,0.5937496667107711,0.5598564174246143,0.07,0.07,-0.23,-9.81,-5.13,16.41,
54993.8,79.10000000000582,0.9621330469326994,0.76721834832447,0.4161936065070826,0.09,0.50,-0.08,-8.71,-3.97,17.50,
54993.9,79.20000000000437,0.8147392220827472,0.8076167287241673,0.40133590436384703,0.30,1.04,-0.20,-5.70,-5.54,16.87,
54994.0,79.30000000000291,0.8728115489611719,1.3258176636680326,0.4391322560050168,0.44,2.28,-0.69,-1.60,-7.53,17.75,
54994.1,79.40000000000146,0.9185858696931931,2.4954737497291912,0.9821914408090078,-0.12,4.55,-0.87,10.69,-8.73,19.06,
54994.2,79.5,1.0379788051786027,2.7865211033149038,1.1542193566078878,1.66,2.49,-0.80,24.57,-9.41,31.66,
54994.3,79.60000000000582,0.93,2.5535900500422257,0.9512754309818487,0.48,0.04,-0.17,28.43,-12.93,35.56,
54994.4,79.70000000000437,0.986154146165801,2.651635327336065,1.039072259536091,-0.19,-0.14,0.17,27.45,-11.80,35.15,
54994.5,79.80000000000291,0.9732933781753578,2.601173153319209,0.9949522956444107,-0.05,-0.02,0.05,27.31,-12.83,35.34,
54994.6,79.90000000000146,0.9802550688468793,2.577723294809093,0.9627319210837746,-0.28,-0.50,0.14,28.05,-11.59,35.18,
54994.7,80.0,0.9956907150315303,2.5426813918595617,0.8726877720934307,-0.74,-1.27,0.46,26.09,-12.54,33.82,
