Relative Time (to start of segment),aclx 1,aclx 2,aclx 3,aclx 4,aclx 5,aclx 6,aclx 7,aclx 8,aclx 9,acly 1,acly 2,acly 3,acly 4,acly 5,acly 6,acly 7,acly 8,acly 9,aclz 1,aclz 2,aclz 3,aclz 4,aclz 5,aclz 6,aclz 7,aclz 8,aclz 9,gyrx 1,gyrx 2,gyrx 3,gyrx 4,gyrx 5,gyrx 6,gyrx 7,gyrx 8,gyrx 9,gyry 1,gyry 2,gyry 3,gyry 4,gyry 5,gyry 6,gyry 7,gyry 8,gyry 9,gyrz 1,gyrz 2,gyrz 3,gyrz 4,gyrz 5,gyrz 6,gyrz 7,gyrz 8,gyrz 9,magr 1,magr 2,magr 3,magr 4,magr 5,magr 6,magr 7,magr 8,magr 9,magphi 1,magphi 2,magphi 3,magphi 4,magphi 5,magphi 6,magphi 7,magphi 8,magphi 9,magtheta 1,magtheta 2,magtheta 3,magtheta 4,magtheta 5,magtheta 6,magtheta 7,magtheta 8,magtheta 9,
0.600000,-0.337977,,,,,,,,,0.881885,,,,,,,,,-0.969237,,,,,,,,,-1.496824,,,,,,,,,1.820769,,,,,,,,,-1.356516,,,,,,,,,0.000000,,,,,,,,,-0.234587,,,,,,,,,0.810290,,,,,,,,,
0.615385,-0.778621,,,,,,,,,0.780173,,,,,,,,,-0.668169,,,,,,,,,-1.351159,,,,,,,,,1.754346,,,,,,,,,-1.334392,,,,,,,,,0.000000,,,,,,,,,0.057504,,,,,,,,,0.766063,,,,,,,,,
0.630769,-1.270353,,,,,,,,,0.658288,,,,,,,,,-0.397086,,,,,,,,,-0.991646,,,,,,,,,1.591725,,,,,,,,,-1.170036,,,,,,,,,0.000000,,,,,,,,,0.350466,,,,,,,,,0.652522,,,,,,,,,
0.646154,-1.608325,,,,,,,,,0.531294,,,,,,,,,-0.202400,,,,,,,,,-0.709614,,,,,,,,,0.984760,,,,,,,,,-0.925084,,,,,,,,,0.000000,,,,,,,,,0.640090,,,,,,,,,0.471674,,,,,,,,,
0.661538,-1.772502,,,,,,,,,0.434081,,,,,,,,,-0.104703,,,,,,,,,-0.579445,,,,,,,,,0.267854,,,,,,,,,-0.604275,,,,,,,,,0.000000,,,,,,,,,0.652486,,,,,,,,,0.327655,,,,,,,,,
0.676923,-1.836222,,,,,,,,,0.380894,,,,,,,,,0.015617,,,,,,,,,-0.309810,,,,,,,,,-0.039065,,,,,,,,,-0.237636,,,,,,,,,0.000000,,,,,,,,,0.657641,,,,,,,,,0.220282,,,,,,,,,
0.692308,-1.712244,,,,,,,,,0.347257,,,,,,,,,0.076542,,,,,,,,,-0.223031,,,,,,,,,-0.982724,,,,,,,,,0.084753,,,,,,,,,0.000000,,,,,,,,,0.659829,,,,,,,,,0.169835,,,,,,,,,
0.707692,-1.468022,,,,,,,,,0.362213,,,,,,,,,0.119126,,,,,,,,,-0.040175,,,,,,,,,-1.461425,,,,,,,,,0.260171,,,,,,,,,0.000000,,,,,,,,,0.652872,,,,,,,,,0.218556,,,,,,,,,
0.723077,-1.281502,,,,,,,,,0.381874,,,,,,,,,0.061820,,,,,,,,,0.006313,,,,,,,,,-1.589689,,,,,,,,,0.481418,,,,,,,,,0.000000,,,,,,,,,0.640896,,,,,,,,,0.321087,,,,,,,,,
0.738462,-1.027845,,,,,,,,,0.414699,,,,,,,,,0.013248,,,,,,,,,-0.204436,,,,,,,,,-1.676726,,,,,,,,,0.754817,,,,,,,,,0.000000,,,,,,,,,0.625835,,,,,,,,,0.418278,,,,,,,,,
0.753846,-0.641794,,,,,,,,,0.388137,,,,,,,,,-0.012353,,,,,,,,,-0.570148,,,,,,,,,-1.752310,,,,,,,,,1.006091,,,,,,,,,0.000000,,,,,,,,,0.604484,,,,,,,,,0.476401,,,,,,,,,
0.769231,-0.267328,,,,,,,,,0.329549,,,,,,,,,0.039825,,,,,,,,,-0.839783,,,,,,,,,-1.720244,,,,,,,,,1.209954,,,,,,,,,0.000000,,,,,,,,,0.584027,,,,,,,,,0.467698,,,,,,,,,
0.784615,0.113782,,,,,,,,,0.171542,,,,,,,,,0.155073,,,,,,,,,-1.090822,,,,,,,,,-1.362936,,,,,,,,,1.382211,,,,,,,,,0.000000,,,,,,,,,0.571757,,,,,,,,,0.348632,,,,,,,,,
0.800000,0.424997,,,,,,,,,-0.044191,,,,,,,,,0.289055,,,,,,,,,-1.279877,,,,,,,,,-0.836136,,,,,,,,,1.439104,,,,,,,,,0.000000,,,,,,,,,0.589327,,,,,,,,,0.133548,,,,,,,,,
0.822222,0.664983,,,,,,,,,-0.304668,,,,,,,,,0.436032,,,,,,,,,-1.357358,,,,,,,,,-0.364306,,,,,,,,,1.391693,,,,,,,,,0.000000,,,,,,,,,0.642856,,,,,,,,,-0.156859,,,,,,,,,
0.844444,0.802509,,,,,,,,,-0.645328,,,,,,,,,0.605729,,,,,,,,,-1.503023,,,,,,,,,0.098361,,,,,,,,,1.361667,,,,,,,,,0.000000,,,,,,,,,0.198239,,,,,,,,,-0.508167,,,,,,,,,
0.866667,0.883367,,,,,,,,,-0.974374,,,,,,,,,0.818441,,,,,,,,,-1.493725,,,,,,,,,0.249530,,,,,,,,,1.216276,,,,,,,,,0.000000,,,,,,,,,-0.248198,,,,,,,,,-0.879719,,,,,,,,,
0.888889,0.927870,,,,,,,,,-1.289833,,,,,,,,,1.004695,,,,,,,,,-1.261281,,,,,,,,,0.315953,,,,,,,,,1.002930,,,,,,,,,0.000000,,,,,,,,,-0.679977,,,,,,,,,-1.230319,,,,,,,,,
0.911111,0.948400,,,,,,,,,-1.541532,,,,,,,,,1.149881,,,,,,,,,-0.948257,,,,,,,,,0.286177,,,,,,,,,0.756397,,,,,,,,,0.000000,,,,,,,,,-1.099228,,,,,,,,,-1.522282,,,,,,,,,
0.933333,0.887499,,,,,,,,,-1.742682,,,,,,,,,1.241346,,,,,,,,,-0.681721,,,,,,,,,0.247240,,,,,,,,,0.531989,,,,,,,,,0.000000,,,,,,,,,-1.535662,,,,,,,,,-1.747383,,,,,,,,,
0.955556,0.820340,,,,,,,,,-1.871705,,,,,,,,,1.288841,,,,,,,,,-0.396590,,,,,,,,,0.080038,,,,,,,,,0.312322,,,,,,,,,0.000000,,,,,,,,,-1.967843,,,,,,,,,-1.882959,,,,,,,,,
