time,x,y,z,MF,
56447.1,-33.59,-9.79,-21.55,41.09,
56447.1,-33.42,-9.62,-21.71,41.00,
56447.2,-33.08,-9.28,-22.05,40.82,
56447.2,-33.29,-9.69,-22.05,41.09,
56447.2,-33.42,-9.96,-22.05,41.26,
56447.2,-33.12,-9.66,-21.75,40.79,
56447.2,-33.09,-9.63,-21.72,40.74,
56447.3,-33.77,-10.30,-22.05,41.62,
56447.3,-33.82,-10.25,-21.90,41.57,
56447.3,-33.94,-10.13,-21.55,41.46,
56447.3,-33.74,-10.13,-22.30,41.70,
56447.3,-33.59,-10.13,-22.89,41.89,
56447.3,-33.74,-9.70,-22.75,41.83,
56447.3,-33.77,-9.62,-22.72,41.82,
56447.4,-33.25,-9.45,-21.21,40.56,
56447.4,-33.13,-9.49,-21.41,40.57,
56447.4,-32.74,-9.62,-22.05,40.63,
56447.4,-33.89,-10.24,-22.13,41.75,
56447.4,-34.96,-10.82,-22.22,42.81,
56447.4,-34.56,-10.68,-22.08,42.38,
56447.5,-34.45,-10.64,-22.05,42.26,
56447.5,-32.23,-7.74,-21.88,39.71,
56447.5,-32.43,-8.07,-21.88,39.94,
56447.5,-33.25,-9.45,-21.88,40.91,
56447.5,-34.45,-9.53,-21.96,41.95,
56447.5,-35.82,-9.62,-22.05,43.15,
56447.6,-33.54,-9.37,-22.79,41.62,
56447.6,-32.74,-9.28,-23.05,41.10,
56447.6,-33.94,-9.10,-22.89,41.93,
56447.6,-33.81,-9.13,-22.71,41.74,
56447.6,-33.08,-9.28,-21.71,40.64,
56447.6,-33.23,-9.28,-22.00,40.91,
56447.7,-33.42,-9.28,-22.38,41.28,
56447.7,-33.78,-9.16,-21.80,41.23,
56447.7,-33.94,-9.10,-21.55,41.22,
56447.7,-33.28,-8.77,-22.19,40.95,
56447.7,-33.22,-8.97,-22.25,40.98,
56447.8,-32.91,-10.82,-22.55,41.34,
56447.8,-33.42,-10.30,-22.30,41.48,
56447.8,-34.28,-9.45,-21.88,41.75,
56447.8,-33.95,-9.34,-21.99,41.51,
56447.8,-33.77,-9.28,-22.05,41.38,
56447.8,-33.61,-8.49,-22.82,41.50,
56447.9,-33.64,-8.41,-22.89,41.55,
56447.9,-34.45,-8.25,-23.05,42.27,
56447.9,-34.17,-8.64,-22.67,41.91,
56447.9,-33.59,-9.45,-21.88,41.19,
56447.9,-33.49,-9.55,-21.98,41.18,
56447.9,-33.42,-9.62,-22.05,41.18,
56447.9,-33.42,-10.21,-21.46,41.01,
56448.0,-33.44,-10.30,-21.39,41.01,
56448.0,-35.48,-9.96,-22.38,43.11,
56448.0,-35.05,-9.53,-22.53,42.74,
56448.0,-33.94,-8.42,-22.89,41.79,
56448.0,-34.41,-9.08,-22.24,41.97,
56448.0,-34.79,-9.62,-21.71,42.12,
56448.1,-33.38,-9.90,-21.99,41.18,
56448.1,-33.08,-9.96,-22.05,40.98,
56448.1,-33.42,-9.96,-21.71,41.08,
56448.1,-33.34,-9.56,-22.02,41.09,
56448.1,-33.08,-8.25,-23.05,41.16,
56448.2,-33.34,-8.34,-22.80,41.24,
56448.2,-33.59,-8.42,-22.55,41.33,
56448.2,-34.00,-8.29,-22.68,41.70,
56448.2,-34.11,-8.25,-22.72,41.80,
56448.2,-34.28,-9.10,-21.55,41.50,
56448.2,-34.18,-9.20,-21.70,41.52,
56448.3,-33.77,-9.62,-22.38,41.64,
56448.3,-34.40,-9.30,-22.54,42.16,
56448.3,-35.13,-8.93,-22.72,42.78,
56448.3,-34.01,-9.06,-23.09,42.09,
56448.3,-33.59,-9.10,-23.22,41.84,
56448.3,-33.94,-9.10,-23.89,42.49,
56448.4,-33.91,-9.08,-23.82,42.43,
56448.4,-33.77,-8.93,-23.39,42.04,
56448.4,-33.55,-9.57,-23.18,41.89,
56448.4,-33.25,-10.47,-22.89,41.70,
56448.4,-33.96,-9.54,-22.20,41.67,
56448.4,-34.28,-9.10,-21.88,41.67,
56448.4,-33.95,-7.79,-21.56,40.97,
56448.5,-33.89,-7.85,-21.72,41.01,
56448.5,-33.42,-8.93,-23.39,41.76,
56448.5,-33.42,-8.68,-23.39,41.71,
56448.5,-33.42,-8.25,-23.39,41.62,
56448.5,-33.64,-9.12,-22.32,41.39,
56448.6,-33.77,-9.62,-21.71,41.28,
56448.6,-32.52,-7.75,-22.63,40.37,
56448.6,-32.50,-7.67,-22.65,40.35,
56448.6,-34.62,-9.79,-21.21,41.77,
56448.6,-34.68,-9.74,-22.12,42.27,
56448.6,-34.79,-9.62,-24.06,43.38,
56448.7,-33.68,-9.92,-22.77,41.85,
56448.7,-32.91,-10.13,-21.88,40.80,
56448.7,-32.62,-10.43,-22.17,40.79,
56448.7,-32.57,-10.47,-22.22,40.79,
56448.7,-33.59,-9.79,-22.89,41.81,
56448.7,-33.83,-9.65,-22.84,41.94,
56448.8,-34.45,-9.28,-22.72,42.30,
56448.8,-33.89,-9.09,-22.90,41.90,
56448.8,-33.42,-8.93,-23.05,41.57,
56448.8,-33.56,-9.07,-23.19,41.79,
56448.8,-33.59,-9.10,-23.22,41.84,
56448.8,-32.40,-9.62,-24.06,41.48,
56448.9,-32.78,-9.46,-23.53,41.45,
56448.9,-34.11,-8.93,-21.71,41.41,
56448.9,-33.43,-9.27,-21.88,41.02,
56448.9,-32.74,-9.62,-22.05,40.63,
56448.9,-33.92,-9.49,-22.69,41.90,
56448.9,-34.28,-9.45,-22.89,42.29,
56449.0,-34.28,-10.13,-21.88,41.91,
56449.0,-34.19,-10.10,-22.15,41.97,
56449.0,-33.77,-9.96,-23.39,42.27,
56449.0,-33.84,-9.73,-22.86,41.98,
56449.0,-33.94,-9.45,-22.22,41.65,
56449.0,-33.82,-9.32,-22.82,41.85,
56449.1,-33.77,-9.28,-23.05,41.92,
56449.1,-33.60,-9.45,-22.55,41.55,
56449.1,-33.66,-9.43,-22.70,41.68,
56449.1,-34.11,-9.28,-23.72,42.57,
56449.1,-33.70,-8.86,-23.05,41.78,
56449.1,-33.08,-8.25,-22.05,40.60,
56449.2,-33.31,-8.25,-22.95,41.29,
56449.2,-33.42,-8.25,-23.39,41.62,
56449.2,-33.58,-8.73,-23.55,41.94,
56449.2,-33.52,-8.86,-23.40,41.83,
56449.2,-32.74,-9.96,-21.71,40.53,
56449.2,-32.56,-9.66,-21.89,40.40,
56449.3,-32.23,-9.10,-22.22,40.19,
56449.3,-33.83,-9.21,-21.90,41.34,
56449.3,-34.79,-9.28,-21.71,42.05,
56449.3,-33.72,-8.51,-21.86,41.07,
56449.3,-33.61,-8.47,-21.90,41.00,
56449.3,-34.11,-9.96,-22.38,42.00,
56449.4,-34.21,-9.86,-22.69,42.22,
56449.4,-34.45,-9.62,-23.39,42.74,
56449.4,-33.06,-8.83,-23.39,41.45,
56449.4,-32.05,-8.25,-23.39,40.53,
56449.4,-33.65,-8.40,-23.25,41.76,
56449.4,-33.94,-8.42,-23.22,41.97,
56449.5,-33.42,-10.99,-22.38,41.70,
56449.5,-33.60,-10.46,-22.73,41.89,
56449.5,-34.11,-8.93,-23.72,42.50,
56449.5,-33.47,-9.03,-22.92,41.56,
56449.5,-32.91,-9.10,-22.22,40.74,
56449.5,-33.73,-9.10,-21.68,41.12,
56449.6,-33.94,-9.10,-21.55,41.22,
56449.7,-34.28,-9.79,-22.22,42.01,
56449.7,-33.92,-9.86,-22.43,41.84,
56449.7,-32.57,-10.13,-23.22,41.26,
56449.7,-32.90,-9.31,-22.90,41.15,
56449.7,-33.25,-8.42,-22.55,41.05,
56449.7,-32.99,-8.94,-23.56,41.52,
56449.7,-33.35,-9.02,-23.63,41.86,
56449.7,-33.77,-8.93,-23.39,42.04,
56449.7,-33.77,-8.93,-23.86,42.30,
56449.7,-33.77,-8.93,-24.39,42.60,
56449.7,-33.77,-8.43,-24.15,42.36,
56449.8,-33.77,-8.25,-24.06,42.27,
56449.8,-33.77,-9.27,-23.40,42.11,
56449.8,-33.54,-9.33,-23.17,41.82,
56449.8,-32.40,-9.62,-22.05,40.35,
56449.8,-33.06,-9.11,-21.83,40.65,
56449.8,-33.94,-8.42,-21.55,41.07,
56449.9,-33.70,-9.12,-23.61,42.15,
56449.9,-33.59,-9.45,-24.56,42.67,
56449.9,-33.27,-9.45,-22.98,41.53,
56449.9,-33.21,-9.07,-22.93,41.36,
56449.9,-32.91,-6.37,-23.22,40.78,
56450.0,-32.91,-6.37,-23.22,40.78,
56450.0,-33.21,-8.74,-22.64,41.13,
56450.0,-33.26,-9.11,-22.55,41.20,
56450.0,-33.94,-9.45,-23.22,42.19,
56450.0,-33.42,-9.30,-22.80,41.51,
56450.0,-32.05,-8.93,-21.71,39.73,
56450.0,-32.43,-8.93,-23.18,40.85,
56450.1,-32.74,-8.93,-24.39,41.79,
56450.1,-33.30,-8.10,-23.30,41.44,
56450.1,-33.42,-7.91,-23.05,41.37,
56450.1,-33.77,-8.59,-24.06,42.34,
56450.1,-33.96,-8.86,-23.95,42.49,
56450.2,-34.62,-9.79,-23.56,43.00,
56450.2,-33.77,-9.28,-23.22,42.02,
56450.2,-32.91,-8.76,-22.89,41.03,
56450.2,-33.04,-8.37,-22.76,40.98,
56450.2,-33.08,-8.25,-22.72,40.97,
56450.2,-32.74,-7.22,-23.05,40.69,
56450.3,-32.99,-7.65,-22.99,40.93,
56450.3,-34.11,-9.62,-22.72,42.10,
56450.3,-33.80,-9.15,-23.17,41.99,
56450.3,-33.42,-8.59,-23.72,41.88,
56450.3,-33.30,-8.47,-22.39,41.01,
56450.3,-33.25,-8.42,-21.88,40.69,
56450.3,-34.62,-9.10,-23.22,42.66,
56450.4,-34.41,-9.08,-23.11,42.44,
56450.4,-33.08,-8.93,-22.38,40.93,
56450.4,-32.94,-8.66,-22.65,40.91,
56450.4,-32.74,-8.25,-23.05,40.88,
56450.4,-33.55,-8.60,-22.94,41.54,
56450.4,-33.94,-8.76,-22.89,41.86,
56450.5,-35.24,-8.44,-24.48,43.73,
56450.5,-35.10,-8.27,-24.30,43.48,
56450.5,-32.91,-6.71,-21.55,39.90,
56450.5,-33.34,-7.50,-21.84,40.56,
56450.5,-34.11,-8.93,-22.38,41.76,
56450.6,-33.35,-9.04,-22.28,41.12,
56450.6,-32.91,-9.10,-22.22,40.74,
56450.6,-33.37,-7.41,-22.37,40.85,
56450.6,-33.46,-7.28,-22.37,40.91,
56450.6,-34.45,-8.59,-22.05,41.79,
56450.6,-34.29,-8.64,-22.41,41.87,
56450.7,-33.94,-8.76,-23.22,42.04,
56450.7,-33.94,-9.16,-23.03,42.02,
56450.7,-33.94,-9.45,-22.89,42.01,
56450.7,-34.97,-9.30,-22.74,42.73,
56450.7,-35.13,-9.28,-22.72,42.86,
56450.7,-34.96,-8.08,-23.22,42.74,
56450.8,-34.78,-8.26,-22.87,42.44,
56450.8,-34.28,-8.76,-21.88,41.60,
56450.8,-34.46,-9.68,-22.06,42.05,
56450.8,-34.62,-10.47,-22.22,42.45,
56450.8,-34.07,-8.54,-21.67,41.27,
56450.8,-33.94,-8.08,-21.55,41.00,
56450.9,-35.48,-8.93,-21.38,42.37,
56450.9,-35.29,-8.97,-21.34,42.21,
56450.9,-34.62,-9.10,-21.21,41.61,
56450.9,-34.87,-8.85,-21.13,41.72,
56450.9,-35.13,-8.59,-21.04,41.85,
56450.9,-34.49,-8.46,-20.92,41.21,
56450.9,-34.28,-8.42,-20.88,41.01,
56451.0,-35.65,-8.08,-21.21,42.26,
56451.0,-35.79,-7.88,-21.35,42.41,
56451.0,-36.50,-6.88,-22.05,43.20,
56451.0,-35.90,-7.33,-21.46,42.47,
56451.0,-35.13,-7.91,-20.71,41.54,
56451.1,-36.11,-6.69,-20.23,41.93,
56451.1,-36.50,-6.20,-20.04,42.10,
56451.1,-37.17,-5.19,-20.69,42.86,
56451.1,-37.13,-5.23,-20.69,42.82,
56451.1,-36.67,-5.68,-20.54,42.42,
56451.1,-37.21,-5.28,-20.80,42.96,
56451.2,-38.04,-4.66,-21.21,43.80,
56451.2,-37.14,-4.43,-21.43,43.11,
56451.2,-36.67,-4.31,-21.55,42.75,
56451.2,-36.99,-3.67,-21.55,42.97,
56451.2,-36.97,-3.68,-21.50,42.92,
56451.2,-36.33,-4.31,-20.88,42.12,
56451.3,-36.63,-4.26,-20.70,42.29,
56451.3,-37.19,-4.14,-20.37,42.60,
56451.3,-36.87,-5.09,-20.68,42.58,
56451.3,-36.67,-5.68,-20.88,42.58,
56451.3,-38.34,-2.80,-21.91,44.25,
56451.3,-38.58,-2.48,-22.04,44.50,
56451.4,-39.41,-4.31,-21.88,45.28,
56451.4,-39.01,-4.31,-22.08,45.03,
56451.4,-38.04,-4.31,-22.55,44.43,
56451.4,-37.17,-4.02,-22.84,43.81,
56451.4,-36.50,-3.80,-23.05,43.34,
56451.4,-36.79,-3.80,-22.49,43.29,
56451.5,-36.85,-3.80,-22.38,43.28,
56451.5,-36.16,-3.46,-22.05,42.49,
56451.5,-36.16,-3.46,-22.38,42.67,
56451.5,-36.16,-3.46,-23.39,43.20,
56451.5,-36.61,-4.44,-23.48,43.71,
56451.5,-37.02,-5.34,-23.56,44.20,
56451.6,-38.10,-5.07,-22.76,44.67,
56451.6,-38.39,-5.00,-22.55,44.80,
56451.6,-37.87,-4.48,-22.38,44.22,
56451.6,-37.94,-4.90,-22.32,44.29,
56451.6,-38.21,-6.54,-22.05,44.60,
56451.6,-37.89,-6.38,-21.73,44.14,
56451.7,-37.53,-6.20,-21.38,43.63,
56451.7,-38.55,-7.98,-20.38,44.33,
56451.7,-38.90,-8.59,-20.04,44.59,
56451.7,-38.73,-8.42,-20.88,44.79,
56451.7,-38.78,-8.42,-20.93,44.86,
56451.7,-39.07,-8.42,-21.21,45.25,
56451.8,-38.71,-8.93,-21.00,44.93,
56451.8,-38.21,-9.62,-20.71,44.52,
56451.8,-37.38,-9.98,-21.29,44.16,
56451.8,-37.02,-10.13,-21.55,44.01,
56451.8,-38.84,-10.63,-21.38,45.60,
56451.9,-38.75,-10.64,-21.38,45.52,
56451.9,-37.53,-10.64,-21.38,44.48,
56451.9,-37.34,-11.61,-21.57,44.65,
56451.9,-37.02,-13.21,-21.88,44.98,
56451.9,-37.46,-13.43,-21.66,45.31,
56451.9,-37.70,-13.55,-21.55,45.49,
56451.9,-38.33,-13.55,-20.31,45.45,
56452.0,-38.38,-13.52,-20.27,45.46,
56452.0,-38.21,-13.04,-21.38,45.69,
56452.0,-37.59,-12.98,-20.99,44.97,
56452.0,-36.33,-12.87,-20.21,43.52,
56452.0,-37.57,-12.04,-20.81,44.60,
56452.0,-38.39,-11.50,-21.21,45.34,
56452.1,-39.43,-10.45,-21.06,45.91,
56452.1,-39.59,-10.30,-21.03,46.00,
56452.1,-39.75,-10.47,-20.21,45.81,
56452.1,-39.32,-10.52,-20.16,45.42,
56452.1,-38.21,-10.64,-20.04,44.44,
56452.1,-38.59,-10.46,-20.22,44.81,
56452.2,-38.90,-10.30,-20.37,45.10,
56452.2,-39.18,-10.59,-20.65,45.54,
56452.2,-39.24,-10.64,-20.71,45.63,
56452.2,-39.58,-9.96,-20.37,45.62,
56452.2,-39.62,-10.08,-20.18,45.59,
56452.2,-39.75,-10.47,-19.54,45.52,
56452.3,-40.28,-10.65,-19.88,46.16,
56452.3,-40.78,-10.82,-20.21,46.78,
56452.3,-39.58,-9.62,-19.29,45.07,
56452.3,-39.24,-9.28,-19.03,44.59,
56452.3,-38.90,-7.91,-19.70,44.31,
56452.4,-38.90,-8.04,-19.83,44.39,
56452.4,-38.90,-8.59,-20.37,44.74,
56452.4,-38.82,-8.51,-20.30,44.62,
56452.4,-38.73,-8.42,-20.21,44.49,
56452.4,-38.48,-8.17,-21.19,44.68,
56452.4,-38.39,-8.08,-21.55,44.75,
56452.5,-39.92,-6.54,-20.71,45.45,
56452.5,-39.81,-6.42,-20.78,45.36,
56452.5,-39.07,-5.68,-21.21,44.82,
56452.5,-38.51,-5.82,-21.49,44.48,
56452.5,-37.70,-6.02,-21.88,44.00,
56452.5,-38.87,-6.49,-21.65,44.97,
56452.5,-39.41,-6.71,-21.55,45.41,
56452.6,-37.94,-6.55,-21.06,43.89,
56452.6,-38.06,-6.44,-21.04,43.97,
56452.6,-39.92,-5.51,-21.04,45.47,
56452.6,-40.05,-5.51,-21.29,45.69,
56452.6,-40.27,-5.51,-21.71,46.08,
56452.7,-39.40,-5.73,-21.93,45.45,
56452.7,-38.90,-5.85,-22.05,45.09,
56452.7,-39.21,-4.92,-21.74,45.10,
56452.7,-39.16,-4.82,-21.75,45.05,
56452.7,-37.36,-4.66,-22.55,43.88,
56452.7,-38.18,-5.36,-22.71,44.74,
56452.8,-39.92,-6.88,-23.05,46.61,
56452.8,-39.12,-5.67,-22.66,45.56,
56452.8,-38.56,-4.83,-22.38,44.84,
56452.8,-38.70,-4.98,-22.24,44.91,
56452.8,-38.73,-5.00,-22.22,44.93,
56452.8,-39.24,-5.17,-23.05,45.80,
56452.9,-38.78,-5.26,-22.69,45.24,
56452.9,-37.53,-5.51,-21.71,43.71,
56452.9,-37.53,-6.07,-21.89,43.87,
56452.9,-37.53,-6.54,-22.05,44.02,
56452.9,-38.51,-5.00,-22.46,44.86,
56452.9,-38.73,-4.66,-22.55,45.06,
56453.0,-37.53,-6.20,-22.72,44.31,
56453.0,-37.80,-6.31,-22.83,44.61,
56453.0,-38.73,-6.71,-23.22,45.65,
56453.0,-38.81,-6.29,-22.64,45.37,
56453.0,-38.90,-5.85,-22.05,45.09,
56453.0,-38.51,-6.77,-22.95,45.33,
56453.1,-38.39,-7.05,-23.22,45.41,
56453.1,-38.73,-6.02,-21.88,44.89,
56453.1,-38.88,-6.00,-21.91,45.03,
56453.1,-39.58,-5.85,-22.05,45.69,
56453.1,-39.35,-5.78,-21.82,45.37,
56453.1,-39.07,-5.68,-21.55,44.98,
56453.2,-38.21,-5.07,-22.39,44.57,
56453.2,-37.87,-4.83,-22.72,44.43,
56453.2,-39.74,-5.68,-21.22,45.41,
56453.2,-39.51,-5.66,-21.28,45.23,
56453.2,-37.87,-5.51,-21.71,44.00,
56453.2,-38.42,-5.10,-21.44,44.30,
56453.3,-39.24,-4.48,-21.04,44.75,
56453.3,-38.67,-4.83,-20.70,44.13,
56453.3,-38.39,-5.00,-20.54,43.82,
56453.3,-39.84,-5.16,-21.65,45.63,
56453.3,-39.97,-5.24,-21.78,45.82,
56453.3,-40.44,-6.02,-22.55,46.69,
56453.4,-40.08,-5.78,-22.08,46.12,
56453.4,-39.41,-5.34,-21.21,45.07,
56453.4,-39.52,-5.24,-21.52,45.30,
56453.4,-39.58,-5.17,-21.71,45.44,
56453.4,-38.36,-5.78,-22.92,45.05,
56453.4,-38.23,-5.84,-22.99,44.99,
56453.5,-38.56,-5.51,-21.04,44.27,
56453.5,-39.08,-4.99,-20.94,44.62,
56453.5,-40.27,-3.80,-20.71,45.44,
56453.5,-38.59,-4.49,-21.19,44.26,
56453.5,-37.36,-5.00,-21.55,43.41,
56453.5,-39.40,-3.83,-20.69,44.66,
56453.6,-39.75,-3.63,-20.54,44.89,
56453.6,-39.24,-4.48,-22.38,45.40,
56453.6,-39.20,-4.71,-22.60,45.49,
56453.6,-39.07,-5.34,-23.22,45.76,
56453.6,-39.25,-4.25,-23.04,45.71,
56453.6,-39.41,-3.29,-22.89,45.69,
56453.7,-38.86,-3.01,-22.62,45.06,
56453.7,-38.73,-2.94,-22.55,44.91,
56453.7,-39.24,-3.80,-22.72,45.50,
56453.7,-38.99,-3.98,-22.90,45.39,
56453.7,-38.04,-4.66,-23.56,44.99,
56453.7,-37.88,-4.32,-23.88,44.99,
56453.8,-37.70,-3.97,-24.23,44.99,
56453.8,-39.26,-3.97,-24.73,46.57,
56453.8,-39.75,-3.97,-24.90,47.07,
56453.8,-36.50,-1.75,-25.40,44.51,
56453.8,-36.53,-1.89,-25.48,44.58,
56453.8,-36.67,-2.60,-25.90,44.98,
56453.9,-36.98,-2.60,-26.49,45.56,
56453.9,-37.36,-2.60,-27.24,46.31,
56453.9,-36.39,-1.63,-26.77,45.20,
56453.9,-35.99,-1.23,-26.57,44.75,
56453.9,-35.99,-1.57,-29.20,46.37,
56453.9,-35.95,-1.54,-29.02,46.22,
56454.0,-35.65,-1.23,-27.24,44.88,
56454.0,-35.31,-0.63,-27.31,44.64,
56454.0,-34.79,0.31,-27.41,44.29,
56454.0,-35.13,0.42,-28.41,45.18,
56454.0,-35.31,0.48,-28.92,45.64,
56454.0,-36.58,1.12,-28.61,46.45,
56454.1,-36.69,1.05,-28.50,46.47,
56454.1,-36.85,-0.38,-27.41,45.92,
56454.1,-36.32,-0.09,-27.01,45.26,
56454.1,-35.31,0.48,-26.24,43.99,
56454.1,-35.41,-0.05,-27.37,44.76,
56454.1,-35.48,-0.38,-28.08,45.25,
56454.2,-36.39,0.53,-28.38,46.15,
56454.2,-36.47,0.67,-28.40,46.23,
