time,r,theta,phi,
56523.1,47.23204314869302,3.015201283160461,2.2769655301501732,
56523.1,47.38739283818007,3.0232146470159753,2.2819460524512842,
56523.2,45.51606639418657,3.0112519055535145,2.305426496157324,
56523.2,45.186596463995826,3.0085464244837037,2.30993431266665,
56523.2,46.448997836336574,2.9875487803220264,2.3093396824684462,
56523.2,46.64571470135279,2.9949682725576023,2.3026214874064497,
56523.2,47.163941735185794,3.0126045144621765,2.286034981149947,
56523.2,46.666118330111836,2.999816464381278,2.290200107842506,
56523.3,46.2520410360451,2.989052931051426,2.2937367232759,
56523.3,46.813226763383874,3.0321894107303566,2.317889253800957,
56523.3,46.96162475894547,3.0425335978183834,2.32339356271529,
56523.3,46.83507766621083,3.0506518890377032,2.2828059142379993,
56523.3,46.5814727117982,3.037135530116172,2.2943681804985467,
56523.3,45.89044562869269,2.9928958737812783,2.3303481133795714,
56523.4,46.482521446238266,3.006831222979212,2.318320894572237,
56523.4,47.06465765306277,3.0197269853378117,2.3069152145062892,
56523.4,45.741793799543984,3.028135413686647,2.306272094681583,
56523.4,45.35189301451484,3.030442837795466,2.3063196749441164,
56523.4,47.93492359438992,2.9894516704866714,2.295312953874993,
56523.5,47.669980071319515,2.9917331637696507,2.2951896299912242,
56523.5,46.685267483436355,3.0001404568039804,2.2949765807635623,
56523.5,46.563501801303566,3.0023717745771377,2.294995859511323,
56523.5,46.427821400535265,3.0045755927808675,2.29499278729533,
56523.5,46.725020064201146,3.0025833797371453,2.317887422714834,
56523.5,46.833592644596465,3.0018520192973734,2.3259567035224684,
56523.5,45.79407931163154,2.9703364418410354,2.307595730305137,
56523.6,45.81474326022138,2.972803745688453,2.3095459578452444,
56523.6,45.94723386668669,2.9844039584652404,2.3193274659236573,
56523.6,45.28263905736944,2.9905773106684337,2.3239276512844373,
56523.6,44.426014901181496,2.998905224161187,2.3306089493486404,
56523.6,45.746575828142596,2.98203427938512,2.300004498821218,
56523.6,46.32705257190447,2.975361521778663,2.287432006907759,
56523.7,46.8232687880716,2.9951609543595707,2.3291018928360807,
56523.7,46.5506552048411,2.994091776748359,2.328435579677114,
56523.7,44.76879940315577,2.9811776096613833,2.313004815800842,
56523.7,45.31470511875809,2.9866330680850712,2.318137693598755,
56523.7,46.134882681112344,2.9943944032735206,2.325328782936235,
56523.8,46.134882681112344,2.9943944032735206,2.325328782936235,
56523.8,46.134882681112344,2.9943944032735206,2.325328782936235,
56523.8,45.717414625063824,2.9823157239799505,2.333948310884013,
56523.8,45.805828231787274,2.981852547462413,2.3330088607642576,
56523.8,46.902666235513735,2.9875487803220264,2.3199028494467897,
56523.8,46.852165371517245,2.9829602461954665,2.311899556771047,
56523.9,46.769871712460365,2.975361521778663,2.298233899372897,
56523.9,47.414113932456864,2.9689917904870162,2.2948955889038287,
56523.9,47.80083890477238,2.9653053123997557,2.2930485920273695,
56523.9,47.4909696679274,2.969144148227946,2.3158668335649333,
56523.9,47.38101940650919,2.971376291983271,2.3194489806949496,
56523.9,46.36842675787049,2.9943944032735206,2.3306712633740285,
56524.0,46.82425546658484,2.99890118513761,2.334390174037411,
56524.0,47.7541453698001,3.0074589051936034,2.341866111290484,
56524.0,47.056647776908214,3.0099703451235493,2.329965954967772,
56524.0,46.57460574175588,3.0117382061633835,2.321469799822173,
56524.0,45.793896973286735,2.975590612707162,2.282525061022205,
56524.0,45.70771160318574,2.9705349970146373,2.2769418111250834,
56524.1,46.89173701197259,2.993175824224565,2.3151792666023656,
56524.1,46.84631255499199,2.991178056263984,2.307393488017861,
56524.1,46.7559119256592,2.986481924573192,2.288802934906859,
56524.1,45.82129744998498,2.9926457137455498,2.282297503115039,
56524.1,45.07539239984495,2.9973451847744434,2.276951013571342,
56524.1,46.297435134141075,3.0613674823867583,2.27403069189401,
56524.1,46.581198997020245,3.075174145604531,2.273088014969439,
56524.2,46.48981071159572,3.06337808215345,2.3036101626265095,
56524.2,46.6055887206674,3.0674086223278922,2.3025295834371677,
56524.2,46.95541076382998,3.0790313807686935,2.2995641486175975,
56524.2,46.78178705436551,3.0805155405803877,2.3153098559248835,
56524.2,46.63585852109941,3.0818474368104214,2.329955236027125,
56524.2,45.93107118280609,3.1334603902295424,2.2940953889800855,
56524.3,45.76454304371453,3.147658437080048,2.2836559820292077,
56524.3,46.01255806842302,3.2021860214520665,2.2934017342413364,
56524.3,45.948260032345075,3.2116280371555797,2.284802971327768,
56524.3,45.785799108457205,3.2440365070969173,2.2544591297842547,
56524.3,45.74418432981399,3.2723169887552177,2.255200543471242,
56524.4,45.72559895725807,3.3026566897774656,2.255532243699199,
56524.4,46.18187090190262,3.350862587219442,2.247491379202577,
56524.4,46.35136351823968,3.3665498830995166,2.244557741342976,
56524.4,45.817287130514394,3.426251708966836,2.23518696378388,
56524.4,45.77294506583556,3.438683939934912,2.2351131636073074,
56524.4,45.62530986196149,3.492454362354916,2.233750408520663,
56524.5,46.03507032687145,3.515016778061133,2.2372778860705838,
56524.5,46.555688159450504,3.5425614799740868,2.2410586089192917,
56524.5,46.29899998920063,3.5560801400633713,2.187579705928661,
56524.5,46.224276089518156,3.561540753605534,2.165558329135265,
56524.5,47.21400004236032,3.6542785356576757,2.1847459798787443,
56524.5,47.07475969136752,3.6583902970541144,2.1818956809107513,
56524.6,46.10286325164631,3.6674840280978698,2.1631517963456997,
56524.6,45.90642656535139,3.6838036245343484,2.1550257295308333,
56524.6,45.655862712251974,3.7072626976649756,2.1432081510512657,
56524.6,47.33920362659262,3.725940857077523,2.1261672984481543,
56524.6,48.15764321475875,3.7340471670173194,2.118328731104275,
56524.6,46.853069269792776,3.792942192954464,2.1075930978899846,
56524.7,46.963639126456115,3.804089152147607,2.1044604989958065,
56524.7,48.45330638872852,3.854798967796911,2.0863906622194626,
56524.7,48.45000103199173,3.8724568641310877,2.08050810910193,
56524.7,48.47073446936822,3.9008953289212993,2.0703706774873964,
56524.7,48.56414418066069,3.9228345649429786,2.0744864116033455,
56524.7,48.623090193857486,3.9351369377065963,2.0766375117037787,
56524.8,48.87933203307917,3.9654839727121978,2.0665118465423493,
56524.8,48.945698483114946,3.969629873956339,2.063226613025448,
56524.8,49.32882119005075,3.9787131338444235,2.0380618297167183,
56524.8,49.30780262798171,3.9902017099963087,2.0394131496040924,
56524.8,49.276093595170465,4.012138466729004,2.042242992963679,
56524.8,50.97465742896169,4.021364940905942,2.0231458309912522,
56524.9,52.09940210789371,4.026943157414055,2.011407580601914,
56524.9,51.58860920784742,4.074827279769368,2.034852986460315,
56524.9,51.534519499069745,4.085014804446578,2.037984689322919,
56524.9,51.88206915688695,4.139125418055854,2.0311631908180776,
56524.9,52.287883873800055,4.131455062118748,2.02072353375317,
56524.9,53.24391984067289,4.115000742751499,1.9977850765195424,
56525.0,53.575998357473466,4.128255709979278,1.9988614171413743,
56525.0,53.81979933072958,4.138326310273059,1.9996538922108655,
56525.0,54.587310796557844,4.147621120016238,1.9988652998496603,
56525.0,54.7547824395276,4.149555107213665,1.9988749365651513,
56525.0,55.816669553100354,4.161396318218506,2.013084236495856,
56525.0,55.87377023255188,4.165541215882609,2.0161670608094004,
56525.1,56.047608334343764,4.1765990766678165,2.024390292809472,
56525.1,57.26790113143662,4.171468862727766,2.0279925379347485,
56525.1,58.325587866733066,4.167440763371783,2.030920045357563,
56525.1,56.87851439691441,4.152509282885341,2.0489080232586234,
56525.1,56.51008847984579,4.1484947870641165,2.0536876910995074,
56525.1,57.78361792065291,4.166026669646586,2.078247146903483,
56525.2,57.7166674367119,4.1608380250068535,2.080479435976052,
