Relative Time (to start of segment),aclx 1,aclx 2,aclx 3,aclx 4,aclx 5,aclx 6,aclx 7,aclx 8,aclx 9,aclx 10,acly 1,acly 2,acly 3,acly 4,acly 5,acly 6,acly 7,acly 8,acly 9,acly 10,aclz 1,aclz 2,aclz 3,aclz 4,aclz 5,aclz 6,aclz 7,aclz 8,aclz 9,aclz 10,gyrx 1,gyrx 2,gyrx 3,gyrx 4,gyrx 5,gyrx 6,gyrx 7,gyrx 8,gyrx 9,gyrx 10,gyry 1,gyry 2,gyry 3,gyry 4,gyry 5,gyry 6,gyry 7,gyry 8,gyry 9,gyry 10,gyrz 1,gyrz 2,gyrz 3,gyrz 4,gyrz 5,gyrz 6,gyrz 7,gyrz 8,gyrz 9,gyrz 10,magr 1,magr 2,magr 3,magr 4,magr 5,magr 6,magr 7,magr 8,magr 9,magr 10,magphi 1,magphi 2,magphi 3,magphi 4,magphi 5,magphi 6,magphi 7,magphi 8,magphi 9,magphi 10,magtheta 1,magtheta 2,magtheta 3,magtheta 4,magtheta 5,magtheta 6,magtheta 7,magtheta 8,magtheta 9,magtheta 10,
0.396226,,0.022596,,,,,,,,,,0.048245,,,,,,,,,,-0.055267,,,,,,,,,,0.051934,,,,,,,,,,-0.067415,,,,,,,,,,0.047026,,,,,,,,,,0.000000,,,,,,,,,,-0.001443,,,,,,,,,,0.048795,,,,,,,,,
0.415094,,0.036264,,,,,,,,,,0.049339,,,,,,,,,,-0.063892,,,,,,,,,,0.046084,,,,,,,,,,-0.066560,,,,,,,,,,0.036794,,,,,,,,,,0.000000,,,,,,,,,,-0.007724,,,,,,,,,,0.047777,,,,,,,,,
0.433962,,0.048385,,,,,,,,,,0.049437,,,,,,,,,,-0.071669,,,,,,,,,,0.037309,,,,,,,,,,-0.047871,,,,,,,,,,0.024867,,,,,,,,,,0.000000,,,,,,,,,,-0.013901,,,,,,,,,,0.045565,,,,,,,,,
0.452830,,0.055284,,,,,,,,,,0.049386,,,,,,,,,,-0.077862,,,,,,,,,,0.020884,,,,,,,,,,-0.028006,,,,,,,,,,0.011115,,,,,,,,,,0.000000,,,,,,,,,,-0.019995,,,,,,,,,,0.042497,,,,,,,,,
0.471698,,0.056952,,,,,,,,,,0.049025,,,,,,,,,,-0.081471,,,,,,,,,,-0.000604,,,,,,,,,,-0.010598,,,,,,,,,,-0.003158,,,,,,,,,,0.000000,,,,,,,,,,-0.025610,,,,,,,,,,0.039624,,,,,,,,,
0.490566,,0.054081,,,,,,,,,,0.049046,,,,,,,,,,-0.080858,,,,,,,,,,-0.019729,,,,,,,,,,0.028489,,,,,,,,,,-0.017887,,,,,,,,,,0.000000,,,,,,,,,,-0.025465,,,,,,,,,,0.039629,,,,,,,,,
0.509434,,0.043024,,,,,,,,,,0.049042,,,,,,,,,,-0.076088,,,,,,,,,,-0.030529,,,,,,,,,,0.057538,,,,,,,,,,-0.031900,,,,,,,,,,0.000000,,,,,,,,,,-0.019214,,,,,,,,,,0.041066,,,,,,,,,
0.528302,,0.030607,,,,,,,,,,0.048057,,,,,,,,,,-0.071664,,,,,,,,,,-0.041554,,,,,,,,,,0.058286,,,,,,,,,,-0.043566,,,,,,,,,,0.000000,,,,,,,,,,-0.012897,,,,,,,,,,0.041995,,,,,,,,,
0.547170,,0.013728,,,,,,,,,,0.046815,,,,,,,,,,-0.065618,,,,,,,,,,-0.046729,,,,,,,,,,0.085199,,,,,,,,,,-0.050605,,,,,,,,,,0.000000,,,,,,,,,,-0.006615,,,,,,,,,,0.043053,,,,,,,,,
0.566038,,-0.004267,,,,,,,,,,0.045855,,,,,,,,,,-0.058135,,,,,,,,,,-0.051566,,,,,,,,,,0.089791,,,,,,,,,,-0.053798,,,,,,,,,,0.000000,,,,,,,,,,-0.000278,,,,,,,,,,0.043393,,,,,,,,,
0.584906,,-0.019496,,,,,,,,,,0.043950,,,,,,,,,,-0.048446,,,,,,,,,,-0.053254,,,,,,,,,,0.087869,,,,,,,,,,-0.055428,,,,,,,,,,0.000000,,,,,,,,,,0.006092,,,,,,,,,,0.043328,,,,,,,,,
