Clock Time (s),Elapsed Time (s),ar,atheta,aphi,gx,gy,gz,mx,my,mz,
53202.3,70.60000000000582,0.9197282207261013,0.7496990507181244,0.4453951371716727,-0.10,-0.35,-0.08,4.22,-46.92,-23.72,
53202.4,70.70000000000437,0.9922197337283712,0.8176450458327023,0.45790922634027414,0.01,-0.06,-0.02,4.34,-48.07,-24.03,
53202.5,70.80000000000291,0.8887069258197552,0.49180917598869855,0.36551114679479474,-0.03,0.17,-0.13,4.27,-46.63,-23.23,
53202.6,70.90000000000146,0.8965489389877163,0.4266274931268761,0.41623365771564347,-0.08,-0.11,-0.17,3.53,-46.57,-24.72,
53202.7,71.0,0.8949301648732151,0.5260664189967634,0.41212274223945317,-0.11,-0.14,-0.12,4.90,-46.57,-23.05,
53202.8,71.10000000000582,0.9358418669839472,0.5155490074589791,0.377350201304835,-0.16,-0.05,-0.16,5.59,-44.86,-24.73,
53202.9,71.20000000000437,0.9240129869217206,0.48833395105640554,0.4029696693255149,-0.05,-0.09,-0.06,5.93,-44.86,-25.40,
53203.0,71.30000000000291,0.9129074432821763,0.4636476090008061,0.4294783686914947,-0.04,-0.06,-0.09,6.44,-44.35,-26.24,
53203.1,71.40000000000146,0.9240670971309388,0.4266274931268761,0.4031070078315088,-0.02,0.08,-0.08,7.00,-45.14,-24.14,
53203.2,71.5,0.8887069258197552,0.49180917598869855,0.36551114679479474,0.00,0.07,-0.04,7.13,-45.03,-25.57,
53203.3,71.60000000000582,0.9189668111526117,0.4124104415973874,0.38988758381333466,0.09,0.01,0.06,8.15,-44.69,-25.23,
53203.4,71.70000000000437,0.9298386956886662,0.5016040541891205,0.3900459188214949,0.02,-0.07,-0.01,6.99,-45.15,-23.80,
53203.5,71.80000000000291,0.9308061022576076,0.6659692373791098,0.3925662899278713,-0.01,-0.02,-0.06,7.98,-46.23,-24.39,
53203.6,71.90000000000146,0.9014432871789549,0.6805212246672145,0.3044044265063043,-0.16,0.22,-0.21,6.91,-45.27,-24.57,
53203.7,72.0,0.9165696918401786,0.4514530915525543,0.4116531987732974,-0.30,-0.01,-0.34,7.97,-43.18,-26.72,
53203.8,72.10000000000582,0.8969392398596462,0.43240777557053783,0.3249480484846941,-0.36,-0.15,-0.62,9.52,-41.27,-25.90,
53203.9,72.20000000000437,0.965090669315583,0.3868757177310281,0.30688797252031425,-0.62,0.12,-0.61,11.44,-40.25,-26.86,
53204.0,72.30000000000291,0.9487887014504336,0.1297025371559121,0.24697078304572226,-0.97,-0.26,-0.71,12.43,-39.05,-30.43,
53204.1,72.40000000000146,0.8633075929238662,-0.0,0.31808756711640757,-1.06,-0.27,-1.04,15.17,-33.91,-31.77,
53204.2,72.5,0.9793875637356234,0.11942892601833845,0.5400580182608166,-0.97,-0.09,-0.67,13.96,-28.93,-34.97,
53204.3,72.60000000000582,0.9385627309881849,5.783838585499456,0.4120677451049378,-0.90,0.04,-0.48,15.68,-22.79,-37.30,
53204.4,72.70000000000437,0.9334345183246653,5.940161366758883,0.49813285052288026,-0.87,0.03,-0.49,16.87,-18.69,-38.06,
53204.5,72.80000000000291,0.854751425854324,5.809829265344671,0.5691670684660398,-1.07,-0.00,-0.38,15.68,-12.53,-39.31,
53204.6,72.90000000000146,0.8505880318932308,5.756558035745836,0.6245890213733616,-0.94,-0.41,-0.24,16.37,-10.47,-38.30,
53204.7,73.0,0.855219270129012,5.564355307557962,0.6706388054110137,-0.82,-0.28,-0.39,15.87,-6.47,-40.84,
53204.8,73.10000000000582,0.9267685795278129,5.464092036436122,0.7469974010747173,-0.76,-0.48,-0.53,13.80,-1.75,-40.48,
53204.9,73.20000000000437,0.9131812525451889,5.7074269896563505,0.839285852459621,-0.32,-0.33,-0.53,11.61,1.30,-43.11,
53205.0,73.30000000000291,0.986610358753647,5.7232455100651975,0.929784022093732,-0.20,-0.38,-0.32,9.32,3.36,-42.94,
