Relative Time (to start of segment),aclx 1,aclx 2,aclx 3,aclx 4,aclx 5,aclx 6,aclx 7,aclx 8,aclx 9,aclx 10,aclx 11,acly 1,acly 2,acly 3,acly 4,acly 5,acly 6,acly 7,acly 8,acly 9,acly 10,acly 11,aclz 1,aclz 2,aclz 3,aclz 4,aclz 5,aclz 6,aclz 7,aclz 8,aclz 9,aclz 10,aclz 11,gyrx 1,gyrx 2,gyrx 3,gyrx 4,gyrx 5,gyrx 6,gyrx 7,gyrx 8,gyrx 9,gyrx 10,gyrx 11,gyry 1,gyry 2,gyry 3,gyry 4,gyry 5,gyry 6,gyry 7,gyry 8,gyry 9,gyry 10,gyry 11,gyrz 1,gyrz 2,gyrz 3,gyrz 4,gyrz 5,gyrz 6,gyrz 7,gyrz 8,gyrz 9,gyrz 10,gyrz 11,magr 1,magr 2,magr 3,magr 4,magr 5,magr 6,magr 7,magr 8,magr 9,magr 10,magr 11,magphi 1,magphi 2,magphi 3,magphi 4,magphi 5,magphi 6,magphi 7,magphi 8,magphi 9,magphi 10,magphi 11,magtheta 1,magtheta 2,magtheta 3,magtheta 4,magtheta 5,magtheta 6,magtheta 7,magtheta 8,magtheta 9,magtheta 10,magtheta 11,
0.450980,,0.067857,,,,,,,,,,,0.070973,,,,,,,,,,,-0.039082,,,,,,,,,,,-0.003117,,,,,,,,,,,-0.026400,,,,,,,,,,,-0.010901,,,,,,,,,,,0.000000,,,,,,,,,,,0.066747,,,,,,,,,,,-0.058098,,,,,,,,,,
0.470588,,0.068813,,,,,,,,,,,0.070421,,,,,,,,,,,-0.033386,,,,,,,,,,,-0.004370,,,,,,,,,,,-0.026614,,,,,,,,,,,-0.004359,,,,,,,,,,,0.000000,,,,,,,,,,,0.066797,,,,,,,,,,,-0.063252,,,,,,,,,,
0.490196,,0.070698,,,,,,,,,,,0.070507,,,,,,,,,,,-0.026904,,,,,,,,,,,-0.004852,,,,,,,,,,,-0.023408,,,,,,,,,,,0.004053,,,,,,,,,,,0.000000,,,,,,,,,,,0.066747,,,,,,,,,,,-0.065407,,,,,,,,,,
0.529412,,0.072690,,,,,,,,,,,0.070376,,,,,,,,,,,-0.022040,,,,,,,,,,,-0.004852,,,,,,,,,,,-0.015715,,,,,,,,,,,0.012464,,,,,,,,,,,0.000000,,,,,,,,,,,0.066739,,,,,,,,,,,-0.068924,,,,,,,,,,
0.549020,,0.073300,,,,,,,,,,,0.070198,,,,,,,,,,,-0.018042,,,,,,,,,,,-0.004563,,,,,,,,,,,-0.005244,,,,,,,,,,,0.020252,,,,,,,,,,,0.000000,,,,,,,,,,,0.066750,,,,,,,,,,,-0.068884,,,,,,,,,,
0.568627,,0.073407,,,,,,,,,,,0.070679,,,,,,,,,,,-0.017076,,,,,,,,,,,-0.003985,,,,,,,,,,,0.006937,,,,,,,,,,,0.027106,,,,,,,,,,,0.000000,,,,,,,,,,,0.066663,,,,,,,,,,,-0.064573,,,,,,,,,,
0.588235,,0.073896,,,,,,,,,,,0.070494,,,,,,,,,,,-0.015002,,,,,,,,,,,-0.003792,,,,,,,,,,,0.009502,,,,,,,,,,,0.031467,,,,,,,,,,,0.000000,,,,,,,,,,,0.066658,,,,,,,,,,,-0.064909,,,,,,,,,,
0.607843,,0.077002,,,,,,,,,,,0.070113,,,,,,,,,,,-0.014983,,,,,,,,,,,-0.003864,,,,,,,,,,,0.019011,,,,,,,,,,,0.038632,,,,,,,,,,,0.000000,,,,,,,,,,,0.066678,,,,,,,,,,,-0.068921,,,,,,,,,,
0.627451,,0.077975,,,,,,,,,,,0.070609,,,,,,,,,,,-0.019398,,,,,,,,,,,-0.004660,,,,,,,,,,,0.012707,,,,,,,,,,,0.037698,,,,,,,,,,,0.000000,,,,,,,,,,,0.066682,,,,,,,,,,,-0.068778,,,,,,,,,,
0.647059,,0.073064,,,,,,,,,,,0.066643,,,,,,,,,,,-0.015450,,,,,,,,,,,-0.014108,,,,,,,,,,,0.031299,,,,,,,,,,,0.024925,,,,,,,,,,,0.000000,,,,,,,,,,,0.066962,,,,,,,,,,,-0.067018,,,,,,,,,,
