time,magx,magy,magz,gyrx,gyry,gyrz,accx,accy,accz
32.1,2.85,-25.32,277.97,0,0,0,-0.04,-0.02,0.92
32.2,4.07,-26,278.97,0,0,0,-0.04,-0.02,0.92
32.3,4.39,-26.17,279.97,0,0,0,-0.04,-0.02,0.93
32.4,3.53,-27.03,280.97,0,0,0,-0.04,-0.03,0.93
32.5,3.53,-26.74,281.97,0,0,0,-0.04,-0.02,0.93
32.6,3.53,-25.66,282.97,0,0,0,-0.04,-0.02,0.93
32.7,4.18,-26.32,283.97,0,0,0,-0.04,-0.02,0.93
32.8,4.9,-27.03,284.97,0,0,0,-0.04,-0.02,0.92
32.9,3.38,-25.26,285.97,0,0,0,-0.03,-0.02,0.92
33,2.85,-24.64,286.97,0,0,0,-0.04,-0.02,0.92
33.1,3.53,-24.98,287.97,0,0,0,-0.04,-0.02,0.92
33.2,3.48,-25.3,288.97,0,0,0,-0.04,-0.02,0.92
33.3,3.19,-27.03,289.97,0,0,0,-0.04,-0.03,0.92
33.4,3.62,-27.03,290.97,0,0,0,-0.04,-0.02,0.92
33.5,4.21,-27.03,291.97,0,0,0,-0.04,-0.02,0.94
33.6,3.63,-26.21,292.97,0,0,0,-0.04,-0.02,0.93
33.7,3.36,-25.83,293.97,0,0,0,-0.03,-0.02,0.93
33.8,3.36,-27.46,294.97,0,0,0,-0.04,-0.02,0.93
33.9,3.4,-27.44,295.97,0,0,0,-0.04,-0.02,0.92
34,3.7,-26.52,296.97,0,0,0,-0.04,-0.02,0.92
34.1,3.39,-26.45,297.97,0,0,0,-0.04,-0.02,0.92
34.2,2.85,-26.35,298.97,0,0,0,-0.04,-0.02,0.92
34.3,3.17,-26.02,299.97,0,0,0,-0.04,-0.02,0.93
34.4,3.36,-25.83,300.97,0,0,0,-0.04,-0.02,0.92
34.5,2.44,-27.67,301.97,0,0,0,-0.04,-0.02,0.93
34.6,2.4,-27.8,302.97,0,0,0,-0.04,-0.02,0.92
34.7,3.7,-26.17,303.97,0,0,0,-0.04,-0.03,0.92
34.8,3.27,-26.39,304.97,0,0,0,-0.04,-0.02,0.93
34.9,2.33,-26.86,305.97,0,0,0,-0.04,-0.02,0.93
35,3.12,-26.46,306.97,0,0,0,-0.04,-0.02,0.93
35.1,3.7,-26.17,307.97,0,0,0,-0.03,-0.02,0.92
35.2,3.12,-25.89,308.97,0,0,0,-0.04,-0.02,0.92
35.3,3.02,-25.83,309.97,0,0,0,-0.04,-0.02,0.92
35.4,3.36,-27.89,310.97,0,0,0,-0.04,-0.02,0.92
35.5,3.49,-27.4,311.97,0,0,0,-0.04,-0.02,0.92
35.6,3.87,-26,312.97,0,0,0,-0.04,-0.02,0.92
35.7,4.23,-26,313.97,0,0,0,-0.04,-0.02,0.92
35.8,4.56,-26,314.97,0,0,0,-0.04,-0.02,0.92
35.9,3.48,-26.27,315.97,0,0,0,-0.04,-0.02,0.93
36,3.19,-26.35,316.97,0,0,0,-0.04,-0.02,0.93
36.1,4.21,-26.35,317.97,0,0,0,-0.04,-0.02,0.92
36.2,4.04,-26.31,318.97,0,0,0,-0.03,-0.02,0.92
36.3,3.36,-26.17,319.97,0,0,0,-0.03,-0.02,0.92
36.4,3.12,-26.58,320.97,0,0,0,-0.03,-0.02,0.92
36.5,2.85,-27.03,321.97,0,0,0,-0.04,-0.02,0.92
36.6,3.59,-27.28,322.97,0,0,0,-0.03,-0.02,0.92
