Clock Time (s),Elapsed Time (s),ar,atheta,aphi,gx,gy,gz,mx,my,mz,
61324.4,2.099999999998545,1.6312571838922274,2.512320856035687,1.2463621389095842,0.91,-1.38,0.58,43.17,-39.13,27.73,
61324.5,2.1999999999970896,1.3230646242719968,0.9871605077177354,1.2873628628530807,0.03,-3.24,-1.73,41.16,-58.01,44.07,
61324.6,2.2999999999956344,0.8572630868059117,2.2244322237144183,0.7623256134373382,0.65,-2.25,-0.36,42.16,-56.67,39.50,
61324.7,2.3999999999941792,1.2020815280171306,1.05052913678485,1.169091032398287,0.56,-2.36,-0.83,49.21,-39.26,35.84,
61324.8,2.5,1.1152129841424911,1.1631648213372698,1.0343169634441105,0.59,-2.17,-1.01,40.85,-56.67,39.50,
61324.9,2.599999999998545,0.9438749917229504,1.5946013529799667,1.097785256753962,0.62,-1.94,-0.98,40.49,-56.67,39.50,
61325.1,2.7999999999956344,0.8389278872465737,1.053308585820788,1.1007146826055607,-3.41,4.45,1.54,34.32,-56.16,32.79,
61325.2,2.8999999999941792,1.179915251193915,0.9298397417720923,0.7290369625109299,-2.69,4.52,1.72,31.31,-59.52,35.08,
61325.3,3.0,1.3465140177510222,1.0040671092713902,0.7447876461916001,-3.60,4.05,1.23,31.44,-59.39,36.27,
61325.4,3.099999999998545,0.9013878188659973,0.9272952180016122,1.5152978215491797,-3.30,3.94,0.93,44.33,-51.45,39.99,
61325.5,3.1999999999970896,1.4229898102235308,1.1646075243758967,0.7915467701385537,-2.91,3.32,0.71,31.48,-59.36,36.55,
61325.6,3.2999999999956344,0.8342661445845685,0.9964914966201949,1.3287068947774738,-2.37,2.44,0.54,48.17,-28.77,39.49,
61325.7,3.3999999999941792,0.9792854537876073,4.308854045370051,1.4170180505028136,-1.73,1.64,0.34,32.82,-59.02,34.45,
61325.8,3.5,1.4396527359054336,1.019813839121259,0.7432271760446664,-3.10,4.53,1.62,32.98,-56.83,34.43,
61325.9,3.599999999998545,1.3575345299475812,0.9948777271765435,0.7427233312247798,-0.62,0.51,0.04,33.24,-56.70,34.11,
61326.1,3.7999999999956344,1.4018202452525788,0.9324765187858509,0.9721157725104618,-1.43,0.52,0.98,41.33,-38.02,31.95,
61326.2,3.8999999999941792,1.3990711204224036,0.8299546415336582,0.9178290298313987,-1.44,0.73,1.17,44.67,-39.46,35.85,
61326.3,4.0,1.3902877400020472,1.2349621965753943,0.9399777866263179,-1.42,-0.13,-0.06,43.00,-39.68,31.48,
61326.4,4.099999999998545,1.468672870315238,1.4683524732877722,0.8218235130511656,-1.45,-0.26,-0.15,45.40,-44.74,39.60,
61326.5,4.19999999999709,1.6830329765040257,1.2372120052951034,0.6881613975386941,-1.51,-0.19,-0.14,42.66,-39.64,31.38,
61326.6,4.299999999995634,1.5255818562109345,1.1626472230398073,0.9152360495775554,-1.44,0.10,-0.31,41.50,-39.51,31.00,
61326.7,4.399999999994179,0.8778382538941898,1.3093175110826474,0.9922615190377991,-1.45,0.63,1.12,41.16,-40.86,30.34,
61326.8,4.5,1.1506954418958997,1.3838170568759856,0.7135172574399599,-1.00,0.88,-0.51,41.42,-39.59,31.22,
61326.9,4.599999999998545,1.624992307674101,1.2627435457711202,0.4403097927496577,-0.86,1.02,-0.47,41.33,-39.68,31.48,
61327.1,4.799999999995634,0.8602325267042626,1.7681918866447774,0.9788362436144348,-0.52,-0.12,0.22,46.03,-47.43,33.16,
61327.2,4.899999999994179,1.004041831797859,1.4587673643689087,0.9303109828789158,-0.59,-0.80,-0.05,48.01,-48.43,36.06,
61327.3,5.0,0.8656211642514293,1.7088023504524161,0.9968351859427391,-0.45,0.03,0.23,48.34,-48.43,35.74,
61327.4,5.099999999998545,0.8553361912137238,1.6262948320406136,1.0029706264780154,-0.55,-1.45,-0.36,49.85,-49.37,36.55,
61327.5,5.19999999999709,0.8718371407550839,1.5302779743165498,1.0149981805854917,-0.63,-1.51,-0.30,48.68,-48.43,35.41,
61327.6,5.299999999995634,0.860116271209887,1.6575346654708818,0.9360874794530742,-0.75,-1.43,-0.20,47.57,-48.30,35.05,
61327.7,5.399999999994179,0.8296987405076616,0.23255694180490902,1.2265663921075898,-0.82,-1.35,-0.14,37.66,-48.43,24.95,
61327.8,5.5,1.0580170130957254,5.886105861954604,1.2635316027950634,-1.09,-1.01,0.01,48.38,-48.05,36.67,
61327.9,5.599999999998545,1.756872220737752,5.457486395478356,1.5252451072647608,-1.18,-0.85,0.03,9.65,-47.75,12.62,
61328.0,5.69999999999709,r,theta,phi,-1.43,-2.92,4.72,
61328.1,5.799999999995634,2.2853008554673933,5.607751844291117,1.408176233331524,-1.55,-2.46,4.56,-23.97,-22.70,26.42,
61328.2,5.899999999994179,2.107391752854699,5.612150797205042,1.5945245643904802,-1.40,-2.01,4.09,-18.66,-35.16,18.11,
61328.3,6.0,2.3143249555755996,5.65114754103125,1.3707017087727378,-1.05,-1.93,3.65,-20.63,-33.80,18.90,
61328.4,6.099999999998545,2.1489765005695154,5.6098978523045675,1.5754497216028807,-0.81,-1.97,3.40,-19.46,-5.31,44.61,
61328.5,6.19999999999709,2.1836895383730717,5.6048678422945235,1.552477680056536,-1.51,-2.68,4.66,-14.96,1.68,51.17,
61328.6,6.299999999995634,2.206105165217651,5.594260918964725,1.5118347886158061,0.64,-2.54,2.06,-22.80,-26.23,23.31,
61328.7,6.399999999994179,2.2119222409479042,5.5878652974824785,1.4711706053908067,1.17,-2.81,1.50,-14.61,-23.37,69.25,
61328.8,6.5,2.2339427029357757,5.587290962133748,1.4406135994874825,1.63,-3.03,0.97,-22.98,-25.68,23.79,
61328.9,6.599999999998545,2.2575650599705868,5.599347345089216,1.4196163647723492,1.94,-3.12,0.51,-12.11,-39.68,15.46,
61329.1,6.799999999995634,1.2517587627015039,5.143673791800651,1.4587191990999298,-5.32,-6.34,1.25,8.43,-37.73,-16.94,
61329.2,6.899999999994179,1.0668645649753299,5.119818832285865,1.324612338719978,-4.25,-6.60,1.79,19.85,-38.97,-0.77,
61329.3,7.0,2.157127719909046,5.142853753218997,1.5522520874738472,-3.83,-6.54,1.99,-27.52,-6.75,17.90,
61329.4,7.099999999998545,1.8325392219540624,5.178487564869742,1.4778952973876924,-3.55,-6.42,2.24,19.39,-39.17,-2.17,
61329.5,7.19999999999709,1.489966442575134,5.055412920805393,1.5036302317715715,-3.35,-6.34,2.55,17.51,-39.98,-7.96,
61329.6,7.299999999995634,1.3813037319865606,5.052486099894452,1.5128476007047218,-5.04,-6.47,1.40,-28.25,25.94,-6.98,
