Time,Column,Value,Is Positive Peak
16.400000,gyrz,-0.011317,0
16.500000,magr,-0.004458,1
16.600000,acly,0.015383,1
16.600000,magr,-0.007849,0
16.600000,magtheta,-0.009391,0
16.800000,aclx,-0.021701,0
16.900000,aclz,-0.010685,0
16.900000,magr,-0.006811,1
17.000000,aclz,-0.008562,1
17.000000,magr,-0.010095,0
17.100000,acly,-0.005292,0
17.100000,aclz,-0.013560,0
17.100000,gyry,0.000234,0
17.200000,magr,-0.001648,1
17.300000,gyry,0.004528,1
17.300000,gyrz,0.008862,1
17.400000,gyrz,0.006454,0
17.500000,gyrx,-0.011835,0
17.500000,gyry,-0.017296,0
17.500000,gyrz,0.008484,1
17.500000,magr,-0.011731,0
17.600000,gyrz,0.007318,0
17.700000,aclz,0.002237,1
17.700000,magphi,0.019058,1
17.700000,magtheta,0.019383,1
17.800000,acly,-0.002489,1
17.900000,aclx,0.009522,1
17.900000,acly,-0.002951,0
17.900000,aclz,-0.000320,0
17.900000,magr,0.010567,1
18.000000,aclz,0.007649,1
18.000000,gyrz,0.007591,1
18.100000,magr,-0.000989,0
18.500000,gyry,0.000354,1
18.600000,gyrx,0.012350,1
18.600000,gyry,-0.002570,0
18.600000,magr,0.006403,1
18.700000,acly,0.012723,1
18.700000,gyry,-0.001637,1
18.700000,gyrz,-0.016336,0
18.700000,magphi,-0.044933,0
18.800000,acly,0.012494,0
18.800000,aclz,-0.012598,0
18.800000,gyry,-0.002465,0
18.900000,aclx,-0.016537,0
18.900000,acly,0.016960,1
18.900000,aclz,-0.010470,1
18.900000,magtheta,-0.018692,0
19.000000,acly,0.016592,0
19.000000,aclz,-0.011323,0
19.100000,acly,0.017833,1
19.100000,gyry,-0.001292,1
19.100000,magr,-0.001949,0
19.300000,acly,0.015386,0
19.300000,magr,-0.001776,1
19.400000,acly,0.015390,1
19.400000,gyry,-0.008442,0
19.400000,magr,-0.005289,0
19.700000,gyrx,-0.012424,0
19.700000,gyry,0.001106,1
19.800000,acly,0.011252,0
19.800000,gyry,0.000169,0
19.800000,gyrz,0.011576,1
19.900000,acly,0.011741,1
19.900000,aclz,0.013723,1
19.900000,magr,-0.004191,1
20.000000,gyry,0.002350,1
20.000000,magr,-0.007594,0
20.100000,aclx,0.011450,1
20.200000,acly,0.007826,0
20.200000,magr,0.000267,1
20.200000,magtheta,0.019181,1
20.300000,gyry,0.001548,0
20.400000,magphi,-0.004748,1
20.500000,gyry,0.003653,1
20.600000,gyry,0.000260,0
20.600000,magphi,-0.017943,0
20.700000,gyry,0.003324,1
20.700000,magr,-0.010086,0
20.800000,gyry,0.002041,0
20.800000,magr,-0.009628,1
20.900000,aclz,-0.014912,0
20.900000,gyrx,0.012008,1
20.900000,gyry,0.004061,1
20.900000,gyrz,-0.010108,0
21.000000,gyry,0.003019,0
21.000000,magr,-0.015796,0
21.100000,aclx,-0.015066,0
21.100000,gyry,0.003782,1
21.200000,acly,0.027241,1
21.200000,magtheta,-0.007851,0
21.300000,acly,0.016926,0
21.300000,magr,-0.013738,1
21.400000,magr,-0.016707,0
21.500000,gyry,-0.005733,0
21.600000,acly,0.020026,1
21.600000,magr,-0.015223,1
21.700000,gyry,0.000276,1
21.700000,magr,-0.018125,0
21.800000,magr,-0.017301,1
21.900000,acly,0.017406,0
21.900000,gyrx,-0.011120,0
21.900000,gyry,-0.015754,0
21.900000,gyrz,0.007051,1
22.000000,acly,0.018202,1
22.000000,aclz,0.012370,1
22.100000,acly,0.017814,0
22.100000,aclz,0.012337,0
22.100000,gyrx,-0.009502,1
22.100000,gyrz,0.006551,0
22.100000,magr,-0.028775,0
22.200000,aclz,0.012578,1
22.300000,aclx,0.017922,1
22.300000,acly,0.018129,1
22.300000,gyry,-0.011851,1
22.300000,gyrz,0.006662,1
22.300000,magr,-0.026219,1
22.400000,acly,0.016761,0
22.400000,gyrx,-0.010546,0
22.400000,gyry,-0.012634,0
22.400000,magtheta,0.024115,1
22.500000,acly,0.017196,1
22.500000,gyrz,0.006087,0
22.500000,magr,-0.034507,0
22.500000,magphi,0.009201,1
22.600000,acly,0.015107,0
22.600000,gyrz,0.006167,1
22.700000,acly,0.016984,1
22.700000,magr,-0.031441,1
22.800000,acly,0.016940,0
22.800000,gyrx,-0.008662,1
22.800000,magr,-0.037199,0
22.800000,magphi,-0.011813,0
