time,ax,ay,az
14.05113,0.566548,-4.00669,-8.716702
14.084103,0.656035,-3.923788,-8.712661
14.11847,0.939758,-3.712492,-9.040978
14.151111,0.785326,-3.456752,-8.852877
14.184592,0.27235,-3.9398,-8.89747
14.217776,0.572235,-4.070288,-8.691113
14.252058,0.369768,-3.996215,-8.568854
14.28454,0.329963,-4.084055,-7.837699
14.317785,0.438005,-3.472914,-8.219288
14.351206,0.504746,-3.353648,-8.517228
14.384601,1.307281,-4.000854,-9.134654
14.417781,0.811065,-3.827118,-8.268222
14.451222,1.334815,-3.957008,-8.102268
14.484625,1.512441,-4.046944,-8.146263
14.517776,1.587113,-4.605711,-8.53279
14.551117,1.882957,-4.163665,-8.36938
14.584972,2.256616,-4.502158,-8.98157
14.617799,2.613813,-4.876415,-8.40305
14.651194,1.668818,-4.192098,-6.607634
14.684442,0.417205,-2.015541,-4.482704
14.717522,1.813074,-3.510175,-6.417887
14.752631,6.67198,-4.604663,-8.806637
14.784442,6.828806,-5.702444,-9.127322
14.817946,3.770853,-3.996365,-5.928554
14.851109,4.131791,-3.506284,-4.836909
14.89007,6.00562,-3.179613,-3.19368
14.917836,9.549165,-7.377996,-5.85089
14.950836,5.723693,-4.347128,-6.156161
14.984507,5.074093,-4.563511,-5.593953
15.017921,7.14141,-4.485996,-6.349799
15.051182,6.583242,-4.387681,-5.743745
15.084525,6.693529,-4.364636,-5.428448
15.117773,6.93206,-4.251655,-5.475136
15.151117,6.593268,-4.399503,-5.755567
15.184699,6.725702,-4.284726,-5.774572
15.21778,6.417887,-4.264824,-5.777415
15.251112,6.675721,-4.400849,-5.823505
15.284557,6.197014,-4.277095,-5.768137
15.317964,6.347255,-4.17414,-5.853733
15.351207,6.736626,-3.935011,-5.878723
15.384441,6.876692,-3.758133,-6.358628
15.417777,6.334685,-4.083606,-6.278569
15.451238,6.417737,-4.442001,-6.204646
15.484442,6.846015,-3.8557,-7.596026
15.517889,6.412948,-3.655328,-7.50624
15.55115,5.346443,-4.168454,-6.223052
15.584525,5.462716,-3.750052,-6.560796
15.617792,5.827695,-3.945785,-7.968487
15.653082,5.454934,-3.886227,-8.347533
15.684447,5.315916,-4.149,-8.165417
15.717777,5.212363,-4.242527,-8.502563
15.751051,3.950574,-4.158129,-8.379257
15.784445,3.842232,-4.255247,-9.06088
15.817546,3.866474,-4.675444,-10.150431
15.851115,-0.363483,-2.871947,-2.188827
15.884484,-1.318055,-3.261767,-8.116633
15.918038,0.704369,-2.233421,-8.644424
15.951165,1.490444,-3.227349,-9.29567
15.984546,0.474218,-3.55417,-8.794965
16.017787,-1.385993,-3.299926,-8.345886
16.055546,-0.464941,-3.078006,-8.268222
16.084618,-0.024541,-3.328658,-8.990997
16.117847,0.124054,-3.1431,-9.237459
16.151108,-0.036812,-3.80946,-8.940119
16.184456,-0.228505,-3.889669,-9.19945
16.220484,-0.152636,-4.014471,-8.607462
16.25112,0.194237,-3.332997,-8.843599
16.284438,-0.109539,-2.903073,-8.695901
16.318742,0.022297,-3.10539,-8.548802
16.351112,0.470328,-3.673285,-9.017334
16.384508,0.711552,-3.933514,-9.054745
16.41782,0.801637,-3.883534,-9.053398
16.451264,0.470627,-3.744216,-8.765485
16.484449,0.644063,-3.974517,-8.972591
16.517883,0.840694,-3.643955,-8.594593
16.551949,0.937812,-3.561352,-8.452731
16.584444,1.174099,-3.657274,-8.55808
16.617779,1.733314,-3.94369,-7.938708
16.65207,1.647569,-4.088096,-8.630358
16.684811,0.711702,-3.781028,-8.100173
16.717825,2.27173,-3.954614,-7.641068
16.751105,2.927764,-4.147654,-8.565413
16.783848,2.465667,-4.759394,-8.120674
16.818339,1.472936,-1.778357,-5.946511
16.851108,4.187908,-5.02097,-7.446682
16.8845,6.052159,-4.134485,-8.283934
16.917385,5.498331,-3.061096,-7.36348
16.951115,5.428448,-5.158192,-6.006219
16.984863,4.784833,-2.81643,-3.141604
17.01781,5.816322,-2.736969,-3.349159
17.051146,11.237138,-9.836929,-10.056305
17.084491,5.602632,-3.738829,-5.451493
17.123159,6.899438,-4.582067,-5.416177
17.151444,8.304136,-4.275449,-5.354524
17.184624,6.661505,-4.828679,-5.384901
17.217781,6.804265,-4.633095,-4.908738
17.251159,7.203363,-3.936807,-4.942108
17.284485,7.030824,-4.094979,-5.061523
17.317778,6.852599,-4.374961,-5.282097
17.351114,6.856041,-4.286223,-5.164777
17.383889,6.864272,-4.372567,-5.443412
17.418042,6.682007,-4.516523,-5.584375
17.451167,6.992665,-4.276346,-5.491298
17.484544,6.893003,-4.220081,-5.656054
17.517783,6.852749,-4.184316,-5.570459
17.55143,6.883426,-4.078668,-5.866752
17.584443,6.910062,-4.14062,-6.622748
17.617852,7.026784,-4.014322,-6.409058
17.651317,7.379642,-4.062207,-6.83135
17.684459,6.046323,-3.92289,-6.49211
17.717784,5.492944,-4.101713,-6.829405
17.751291,5.824103,-4.008635,-7.127344
17.78451,6.407412,-3.923937,-7.907582
17.817999,5.795971,-4.386783,-8.647417
17.85111,4.976675,-4.395013,-8.598933
17.883641,4.904697,-4.233549,-8.836117
17.918266,5.5112,-5.083371,-9.397577
17.951228,-1.866796,-2.054149,-2.694621
17.985098,-2.155457,-2.489759,-5.573003
18.017501,0.839497,-2.354931,-8.013829
18.051112,2.339967,-2.866111,-10.106735
18.084435,0.108491,-3.621359,-8.297552
18.117831,-0.877806,-3.361878,-8.041812
18.151239,-0.411668,-3.158663,-8.337357
18.184459,1.185022,-3.491619,-9.208279
18.217773,0.919556,-3.377591,-9.621293
18.256018,0.551584,-3.846123,-9.086469
18.284546,0.63718,-3.786565,-9.106522
18.318318,0.578969,-3.597716,-9.162787
18.351371,0.572384,-3.551177,-8.958076
18.384576,0.606802,-3.336439,-8.789578
18.417902,0.385031,-3.200414,-8.945356
18.45111,0.228505,-3.533369,-8.752167
18.484132,0.353606,-3.360232,-8.526057
18.517779,0.603061,-3.313244,-8.57065
18.551183,0.755398,-3.44493,-8.620182
18.584925,0.799093,-3.527683,-8.71311
18.617841,1.089101,-3.40722,-8.509297
18.651252,1.448244,-3.547286,-8.568555
18.684446,1.98217,-4.008785,-8.134142
18.717028,2.239407,-4.133886,-7.968487
18.751118,1.461413,-4.071635,-8.232607
18.784549,1.762794,-3.643207,-8.25236
18.817152,4.148252,-4.54331,-7.704966
18.851162,2.763606,-2.261554,-6.343514
18.885709,3.0174,-4.415514,-8.067401
18.917779,4.596582,-4.830474,-7.925988
18.951435,5.213411,-4.098571,-7.944993
18.984775,4.175637,-4.432125,-6.410405
19.017806,4.646713,-4.061609,-6.145836
19.051489,5.792978,-3.473213,-4.189703
19.084584,5.190964,-3.374598,-2.533156
19.118796,9.315423,-1.862755,-29.922903
19.158926,6.946575,-4.726772,-5.150561
19.184488,4.253301,-4.74862,-5.17585
19.217747,6.109323,-4.359249,-5.061224
19.251237,8.144766,-4.126853,-5.502222
19.284441,6.765058,-4.222325,-4.76104
19.321436,7.36782,-4.104556,-4.765978
19.35112,7.159667,-3.983196,-4.816857
19.384676,6.98638,-4.254199,-4.913377
19.416903,7.032021,-4.374213,-5.082772
19.45118,7.108938,-4.160672,-4.718841
19.484487,7.323227,-4.370622,-4.963208
19.517775,7.249453,-4.226665,-4.706271
19.551111,7.061351,-4.628007,-5.091452
19.584554,7.146349,-4.597031,-5.028602
19.617789,7.193037,-4.791567,-5.500426
19.651222,6.565135,-4.751164,-5.660993
19.684385,6.493307,-4.682328,-5.421265
19.717779,7.334749,-4.154687,-5.073345
19.752255,6.937597,-4.103359,-5.749731
19.784443,6.840329,-3.946384,-5.887402
19.818581,6.600601,-3.934712,-5.932595
19.851413,6.518147,-3.851959,-6.503333
19.884519,6.24041,-4.014172,-6.160202
19.916948,6.014749,-3.981251,-6.385863
19.951263,5.651416,-4.399652,-7.077363
19.984447,6.280066,-4.094979,-7.986444
20.017835,5.938281,-4.926994,-9.415833
20.051454,5.623582,-4.596433,-8.871881
20.084504,6.144639,-4.419704,-8.451684
20.117775,5.208323,-4.265722,-8.526505
20.151203,3.798237,-4.674546,-9.920729
20.184492,0.964,-4.208858,-2.96323
20.217778,-1.702488,-1.895228,-3.67134
20.25111,-0.576125,-2.214267,-7.601712
20.285623,-0.600218,-1.619436,-7.949333
20.317855,1.251314,-2.737418,-8.207616
20.351652,1.179785,-3.742271,-9.338318
20.384536,0.234341,-4.313009,-9.393088
20.422821,0.379345,-3.778634,-9.39204
20.451162,0.981957,-3.613728,-9.456087
20.484442,0.979862,-2.862819,-9.538092
20.517272,0.281927,-2.97999,-9.099189
20.55111,0.290607,-3.452113,-8.857815
20.584566,0.344328,-3.255482,-9.036489
20.617965,0.444589,-3.233036,-8.516928
20.651291,0.169246,-3.122599,-8.388086
20.684441,0.011971,-3.048077,-7.899352
20.717926,0.661123,-2.712578,-8.125762
20.75155,1.318953,-3.763071,-9.634312
20.784445,0.994377,-3.516909,-9.79039
20.81778,1.47099,-4.067744,-8.914829
20.851685,1.656248,-3.576017,-8.975734
20.884571,2.107571,-4.363439,-9.008206
20.917932,2.163687,-4.953182,-9.062227
20.951286,0.634785,-2.784706,-7.173135
20.983757,1.963315,-4.118324,-6.475649
21.017799,1.124118,-2.998845,-6.832098
21.051136,1.044059,-1.555987,-5.31442
21.084829,5.457927,-3.853007,-8.442256
