time,mx,my,mz
8.257358,28.311462,-2.096451,-24.686935
8.282642,28.227962,-1.877823,-24.605194
8.307181,28.227962,-1.608746,-24.637886
8.337963,28.227962,-1.373302,-24.409004
8.361809,28.09436,-0.666969,-24.801376
8.385601,27.927357,-0.397892,-24.637886
8.4122,27.559952,0.072994,-24.899467
8.438105,27.276047,0.459793,-25.635162
8.463356,26.708237,0.930683,-25.994843
8.489462,25.889923,0.947498,-26.534348
8.51488,24.887909,1.182945,-27.122894
8.540752,23.936001,1.065224,-27.695099
8.567585,22.449677,1.250214,-28.201912
8.592653,21.163757,1.334305,-29.199173
8.618416,19.510437,1.317486,-29.836777
8.648278,17.53981,1.35112,-30.948479
8.670607,15.185074,1.603378,-31.978447
8.696472,13.080841,1.367935,-32.403511
8.72338,10.89312,1.552925,-32.943008
8.748101,8.922485,1.922909,-33.269989
8.774044,7.669975,2.107899,-33.286331
8.801264,7.15226,2.461067,-33.302681
8.825846,6.601158,2.84787,-33.515213
8.85194,6.534355,2.814236,-33.449821
8.88055,6.567749,2.612423,-33.54792
8.903572,6.634552,2.612423,-33.744095
8.930223,6.567749,2.208801,-33.678703
8.956308,6.801552,1.805183,-33.678703
8.981113,6.918449,1.216572,-33.564262
9.008459,7.319267,0.779324,-33.596954
9.033931,7.402763,0.358887,-33.515205
9.058678,7.619865,0.375706,-33.596939
9.08608,7.786873,0.342072,-33.564255
9.111712,7.603172,0.459797,-33.711395
9.13634,7.686668,0.846596,-33.825836
9.162834,7.836975,0.964321,-33.776787
9.189646,7.836975,1.199764,-33.776787
9.2143,7.836975,1.401577,-33.646004
9.239804,8.070778,1.435211,-33.580612
9.267135,8.037376,1.26704,-33.482513
9.292232,8.137573,1.031597,-33.580612
9.317275,8.321281,0.409351,-33.498871
9.344365,8.488281,-0.095169,-33.727753
9.370081,8.772179,-0.347435,-33.842194
9.396067,9.206383,-0.919228,-33.809502
9.428451,9.423492,-1.17149,-33.825851
9.448598,9.657295,-1.30603,-33.891243
9.472545,10.375404,-1.692833,-33.776802
9.500211,10.776207,-2.062817,-33.678703
9.524291,11.227119,-2.046001,-33.695053
9.550097,12.162331,-2.449619,-33.564262
9.576981,13.264549,-2.752335,-33.498871
9.602215,14.149651,-2.937328,-33.090157
9.628945,15.736176,-3.357761,-32.550652
9.656096,17.339401,-3.89592,-31.831314
9.679888,18.992725,-4.148182,-30.834053
9.705603,20.996754,-4.114548,-29.689644
9.733547,22.883881,-4.097733,-28.626968
9.757705,24.754311,-3.795017,-27.744148
9.783235,26.591335,-3.42503,-26.305466
9.809197,27.994152,-3.08868,-25.357246
9.835591,28.779064,-3.240036,-24.261887
9.862476,29.497173,-3.189587,-23.264618
9.888611,29.664173,-3.021408,-22.54528
9.913188,29.814476,-3.206406,-22.332756
9.939872,29.948078,-3.071865,-22.300056
9.9657,30.08168,-3.105499,-22.43084
9.990353,30.048279,-3.139133,-22.888603
10.017934,30.198578,-3.189587,-22.904953
10.042268,30.131779,-3.021408,-23.166519
10.068288,30.06498,-3.122314,-23.199226
10.095991,30.098381,-3.155945,-23.035736
10.121431,30.115082,-3.004589,-22.953995
10.145675,29.881275,-3.206398,-23.117485
10.173045,29.781075,-2.937321,-23.084785
10.199303,29.814472,-2.735516,-23.117477
10.223512,29.764374,-2.348713,-23.29731
10.250067,29.697571,-2.113266,-23.166519
10.274776,29.647476,-2.062817,-22.986687
