Clock Time (s),Elapsed Time (s),aar,aatheta,aaphi,ggx,ggy,ggz,mmx,mmy,mmz,
2.9,2.9,9.546519009638015,4.647195413241114,2.6775853562558587,0.281738,0.144501,0.056,8.722061,0.375698,-33.662369,
3.0,3.0,9.30083417211924,4.654825586802432,2.735962783295123,0.26108,0.160001,0.03253,11.678017,-1.28923,-33.482552,
3.1,3.1,8.995105907507984,4.96669495046263,2.719508899195973,0.349274,0.272135,-0.017468,15.853073,-2.062832,-32.076569,
3.2,3.2,10.022268454680157,4.736944466291051,2.685011077096432,0.711307,0.142582,-0.247152,22.933975,-2.264641,-28.577957,
3.3,3.3,9.527525527946278,4.968350024206606,2.7099985483051583,1.286223,0.016566,-0.449256,27.64344,-3.542767,-25.013962,
3.4,3.4,9.74764381776386,4.868403727488838,2.742290425931351,1.769409,0.188577,-0.337588,27.910645,-3.643669,-24.261917,
3.5,3.5,8.733265505268749,4.898520649721254,2.6507356699674065,2.916759,-0.363457,-0.599176,27.576649,-3.879112,-24.78508,
3.6,3.6,10.453319330690993,5.169018623558104,2.5360152972974412,0.628378,0.163135,0.057065,27.793747,-3.458675,-24.964912,
3.7,3.7,11.300658699080598,5.557860425502346,2.393414620469159,-0.166623,-0.111267,-0.066165,27.910648,-3.172775,-25.406326,
3.8,3.8,25.45721126851661,5.662253765629756,2.057942230418683,-0.178636,-0.090022,0.018124,27.610046,-3.273678,-25.373627,
3.9,3.9,9.642038643109194,5.675875104174603,2.249590942206664,-0.227684,-0.184941,0.065913,27.058945,-2.046005,-26.174698,
4.0,4.0,9.171992449677823,5.664614747525928,2.1680441481555146,-0.14804,-0.221425,0.082519,25.555916,-1.373306,-27.253716,
4.1,4.1,9.79995598277176,5.636944694454085,2.2210455128606252,-0.899438,-0.08932,0.169338,20.195145,-1.423767,-29.755058,
4.2,4.2,9.553097928831672,5.640767118249435,2.202375701798462,-1.771387,0.131262,0.377641,10.976616,-1.423767,-33.842209,
4.3,4.3,9.774355615288457,5.676396313200876,2.1784919701470784,-1.729464,0.066177,0.499499,6.46756,0.291611,-33.940277,
4.4,4.4,9.373697009573224,5.6146212561981015,2.268855432842873,-2.966854,0.482645,0.764223,6.834961,-0.381084,-34.07106,
4.5,4.5,9.523606301769671,5.7443298378594445,2.2489028874121337,0.076491,-0.171344,0.029374,7.619865,-0.86879,-33.793137,
4.6,4.6,9.805223496469063,5.657920098544901,2.273717151131113,0.036699,0.142201,-0.060671,8.371384,-1.625565,-33.744087,
