time,aax,aay,aaz,ggx,ggy,ggz,mmx,mmy,mmz,
12.3,1.330625,-4.542262,-8.494482,0.001031,0.004497,0.016399,29.38028,-3.004593,-23.738739,
12.4,1.6136,-4.390973,-8.331072,-0.09441,-0.038612,0.024274,29.296783,-3.155949,-23.787796,
12.5,1.787335,-4.282781,-7.883939,-0.152785,-0.268496,0.089495,29.012878,-3.071865,-23.444473,
12.6,2.845012,-2.187481,-4.563811,-0.30238,-0.550099,0.114586,29.04628,-3.071869,-23.47718,
12.7,6.175016,-5.445357,-7.427528,-0.77194,-0.356317,0.169519,28.545273,-2.769154,-23.248283,
12.8,5.542625,-3.413505,-2.713027,-1.128961,0.014691,0.276452,29.129787,-2.550529,-23.918587,
12.9,4.796206,-5.2809,-5.614304,-1.800888,0.186097,0.3612,28.495171,-2.617798,-24.376335,
13.0,6.749944,-4.260484,-5.329683,-1.910114,-1.257196,0.113853,28.127769,-1.642376,-24.53981,
13.1,6.817284,-4.148851,-5.330431,-0.371506,-0.211336,0.239932,25.806435,-0.751053,-26.256424,
13.2,6.796633,-4.563511,-5.471694,-0.011953,0.099534,-0.074902,23.034199,-0.481972,-28.283661,
13.3,6.775833,-4.588951,-5.500875,0.307136,0.227944,-0.067981,16.220505,-0.88559,-32.109245,
13.4,6.363417,-4.79037,-6.262557,0.109027,0.055843,-0.024217,8.688698,-0.229706,-33.858551,
13.5,6.689638,-4.166509,-6.798878,-0.007254,0.030267,-0.023419,4.48024,0.510262,-34.414413,
13.6,5.335669,-5.158791,-7.914017,0.285624,0.134432,-0.076316,5.348648,0.611164,-34.054733,
13.7,4.577278,-3.99846,-7.434711,0.64215,0.341954,-0.171095,6.200356,-0.212883,-33.907585,
13.8,-1.267326,-2.056693,-2.457885,0.665678,0.193206,-0.242567,6.851662,0.005737,-33.989326,
13.9,2.457736,-4.330068,-9.028109,0.662242,0.297556,-0.313927,7.252464,-0.095165,-34.185501,
14.0,0.056565,-3.655478,-8.310421,1.564829,0.283692,-0.502071,7.519676,-0.29697,-33.956619,
14.1,0.566548,-4.00669,-8.716702,1.135933,0.342371,-0.523232,8.638596,-1.558281,-33.645988,
14.2,0.785326,-3.456752,-8.852877,1.766665,0.783228,-0.235264,10.458916,-1.911438,-33.760429,
14.3,0.369768,-3.996215,-8.568854,-0.001052,-0.030143,-0.119466,14.450272,-2.365513,-32.599678,
