Time,aclx,acly,aclz,gyrx,gyry,gyrz,magr,magphi,magtheta,Is Positive Peak?
3.300000,,,,0.111000,,,,,,1
4.100000,,,,-0.103475,,,,,,0
5.200000,,,,0.094132,,,,,,1
6.300000,,,,-0.096568,,,,,,0
7.300000,,,,0.079632,,,,,,1
8.200000,,,,-0.092802,,,,,,0
9.300000,,,,0.107246,,,,,,1
10.600000,,,,-0.078386,,,,,,0
11.700000,,,,0.074859,,,,,,1
12.800000,,,,-0.083003,,,,,,0
14.000000,,,,0.091489,,,,,,1
15.000000,,,,-0.102860,,,,,,0
16.100000,,,,0.094687,,,,,,1
17.200000,,,,-0.087842,,,,,,0
18.300000,,,,0.086126,,,,,,1
19.500000,,,,-0.088302,,,,,,0
20.600000,,,,0.089295,,,,,,1
21.600000,,,,-0.086052,,,,,,0
22.400000,,,,-0.008119,,,,,,1
0.000000,,,,,-0.022492,,,,,0
1.400000,,,,,0.038604,,,,,1
2.200000,,,,,-0.101850,,,,,0
3.000000,,,,,0.073988,,,,,1
3.900000,,,,,-0.046616,,,,,0
4.800000,,,,,0.076802,,,,,1
6.300000,,,,,-0.057097,,,,,0
7.300000,,,,,0.144659,,,,,1
8.400000,,,,,-0.153165,,,,,0
9.500000,,,,,0.095073,,,,,1
10.500000,,,,,-0.064435,,,,,0
11.500000,,,,,0.089426,,,,,1
12.800000,,,,,-0.161503,,,,,0
13.900000,,,,,0.165897,,,,,1
14.700000,,,,,-0.079005,,,,,0
15.600000,,,,,0.064608,,,,,1
16.100000,,,,,0.065349,,,,,1
17.200000,,,,,-0.157619,,,,,0
18.200000,,,,,0.071051,,,,,1
19.000000,,,,,-0.052799,,,,,0
19.900000,,,,,0.058128,,,,,1
20.500000,,,,,0.003032,,,,,0
20.800000,,,,,0.018984,,,,,1
21.600000,,,,,-0.122120,,,,,0
22.200000,,,,,-0.100598,,,,,0
22.400000,,,,,-0.002086,,,,,1
22.700000,,,,,-0.025688,,,,,0
0.300000,,,,,,0.031949,,,,1
1.200000,,,,,,-0.065523,,,,0
2.200000,,,,,,0.056975,,,,1
3.500000,,,,,,-0.068041,,,,0
4.200000,,,,,,0.103438,,,,1
5.300000,,,,,,-0.115383,,,,0
6.100000,,,,,,0.109155,,,,1
7.300000,,,,,,-0.125703,,,,0
8.400000,,,,,,0.089624,,,,1
9.300000,,,,,,-0.102757,,,,0
10.600000,,,,,,0.123620,,,,1
11.700000,,,,,,-0.100415,,,,0
12.800000,,,,,,0.074422,,,,1
14.000000,,,,,,-0.093532,,,,0
15.000000,,,,,,0.076763,,,,1
16.100000,,,,,,-0.074561,,,,0
17.000000,,,,,,0.069268,,,,1
18.500000,,,,,,-0.104100,,,,0
19.500000,,,,,,0.101421,,,,1
20.700000,,,,,,-0.081107,,,,0
21.900000,,,,,,0.064137,,,,1
22.700000,,,,,,0.005639,,,,0
0.600000,,,,,,,-0.034085,,,0
0.000000,,,,,,,,0.041079,,0
0.200000,,,,,,,,0.041173,,1
1.800000,,,,,,,,0.039585,,1
2.500000,,,,,,,,-0.196802,,0
3.300000,,,,,,,,0.039980,,1
4.400000,,,,,,,,0.040940,,1
5.600000,,,,,,,,0.039324,,0
6.100000,,,,,,,,0.040620,,1
6.900000,,,,,,,,-0.094891,,0
7.300000,,,,,,,,0.039687,,1
8.200000,,,,,,,,0.040049,,1
9.000000,,,,,,,,-0.196821,,0
9.800000,,,,,,,,0.039710,,1
11.200000,,,,,,,,0.041566,,1
12.300000,,,,,,,,0.039370,,0
13.200000,,,,,,,,0.041002,,1
13.300000,,,,,,,,0.007023,,0
14.000000,,,,,,,,0.006912,,0
14.100000,,,,,,,,0.040910,,1
14.700000,,,,,,,,0.040063,,0
15.500000,,,,,,,,0.041203,,1
15.700000,,,,,,,,-0.026804,,0
16.300000,,,,,,,,-0.026994,,0
16.500000,,,,,,,,0.040881,,1
16.900000,,,,,,,,0.039810,,0
17.400000,,,,,,,,0.040530,,1
18.200000,,,,,,,,-0.230568,,0
19.200000,,,,,,,,0.040123,,1
20.100000,,,,,,,,0.040569,,1
20.300000,,,,,,,,-0.027267,,0
20.900000,,,,,,,,-0.026983,,0
21.100000,,,,,,,,0.040631,,1
21.600000,,,,,,,,0.038687,,0
22.200000,,,,,,,,0.039892,,1
22.700000,,,,,,,,-0.027011,,0
0.100000,,,,,,,,,-0.082540,1
0.600000,,,,,,,,,-0.089805,0
1.700000,,,,,,,,,0.070741,1
2.600000,,,,,,,,,-0.097183,0
3.700000,,,,,,,,,0.080179,1
4.700000,,,,,,,,,-0.089734,0
5.800000,,,,,,,,,0.087958,1
6.900000,,,,,,,,,-0.103611,0
8.100000,,,,,,,,,0.093518,1
9.200000,,,,,,,,,-0.087931,0
10.300000,,,,,,,,,0.101486,1
11.400000,,,,,,,,,-0.086176,0
12.500000,,,,,,,,,0.099034,1
13.800000,,,,,,,,,-0.097527,0
15.000000,,,,,,,,,0.090689,1
16.200000,,,,,,,,,-0.091038,0
17.300000,,,,,,,,,0.087430,1
18.400000,,,,,,,,,-0.108826,0
19.700000,,,,,,,,,0.099483,1
20.800000,,,,,,,,,-0.083675,0
21.800000,,,,,,,,,0.100742,1
22.700000,,,,,,,,,-0.001509,0
