Relative Time (to start of segment),aclx 1,aclx 2,aclx 3,aclx 4,aclx 5,aclx 6,aclx 7,aclx 8,aclx 9,acly 1,acly 2,acly 3,acly 4,acly 5,acly 6,acly 7,acly 8,acly 9,aclz 1,aclz 2,aclz 3,aclz 4,aclz 5,aclz 6,aclz 7,aclz 8,aclz 9,gyrx 1,gyrx 2,gyrx 3,gyrx 4,gyrx 5,gyrx 6,gyrx 7,gyrx 8,gyrx 9,gyry 1,gyry 2,gyry 3,gyry 4,gyry 5,gyry 6,gyry 7,gyry 8,gyry 9,gyrz 1,gyrz 2,gyrz 3,gyrz 4,gyrz 5,gyrz 6,gyrz 7,gyrz 8,gyrz 9,magr 1,magr 2,magr 3,magr 4,magr 5,magr 6,magr 7,magr 8,magr 9,magphi 1,magphi 2,magphi 3,magphi 4,magphi 5,magphi 6,magphi 7,magphi 8,magphi 9,magtheta 1,magtheta 2,magtheta 3,magtheta 4,magtheta 5,magtheta 6,magtheta 7,magtheta 8,magtheta 9,
0.223684,,0.047664,,,,,,,,,0.043332,,,,,,,,,0.013039,,,,,,,,,0.014380,,,,,,,,,0.040162,,,,,,,,,0.032064,,,,,,,,,0.000000,,,,,,,,,-0.005000,,,,,,,,,-0.057836,,,,,,,,
0.236842,,0.045561,,,,,,,,,0.048169,,,,,,,,,0.009618,,,,,,,,,0.019851,,,,,,,,,0.034883,,,,,,,,,0.038125,,,,,,,,,0.000000,,,,,,,,,-0.009202,,,,,,,,,-0.056941,,,,,,,,
0.250000,,0.040377,,,,,,,,,0.053707,,,,,,,,,-0.023025,,,,,,,,,0.019260,,,,,,,,,0.042173,,,,,,,,,0.041155,,,,,,,,,0.000000,,,,,,,,,-0.016636,,,,,,,,,-0.055344,,,,,,,,
0.263158,,0.033754,,,,,,,,,0.062240,,,,,,,,,-0.042503,,,,,,,,,0.009205,,,,,,,,,0.039659,,,,,,,,,0.043049,,,,,,,,,0.000000,,,,,,,,,-0.026334,,,,,,,,,-0.054109,,,,,,,,
0.276316,,0.029659,,,,,,,,,0.064353,,,,,,,,,-0.053662,,,,,,,,,-0.004399,,,,,,,,,0.042173,,,,,,,,,0.036610,,,,,,,,,0.000000,,,,,,,,,-0.032054,,,,,,,,,-0.052100,,,,,,,,
0.289474,,0.023038,,,,,,,,,0.063428,,,,,,,,,-0.069907,,,,,,,,,-0.019482,,,,,,,,,0.052228,,,,,,,,,0.032064,,,,,,,,,0.000000,,,,,,,,,-0.032800,,,,,,,,,-0.048631,,,,,,,,
0.302632,,0.015582,,,,,,,,,0.061128,,,,,,,,,-0.083227,,,,,,,,,-0.039149,,,,,,,,,0.045692,,,,,,,,,0.015398,,,,,,,,,0.000000,,,,,,,,,-0.031015,,,,,,,,,-0.040622,,,,,,,,
0.315789,,0.012528,,,,,,,,,0.053225,,,,,,,,,-0.071007,,,,,,,,,-0.056746,,,,,,,,,0.028849,,,,,,,,,0.007822,,,,,,,,,0.000000,,,,,,,,,-0.024498,,,,,,,,,-0.034181,,,,,,,,
0.328947,,0.011270,,,,,,,,,0.040064,,,,,,,,,-0.056573,,,,,,,,,-0.073899,,,,,,,,,0.036642,,,,,,,,,0.001762,,,,,,,,,0.000000,,,,,,,,,-0.014254,,,,,,,,,-0.026659,,,,,,,,
0.342105,,0.008188,,,,,,,,,0.023715,,,,,,,,,-0.024340,,,,,,,,,-0.089869,,,,,,,,,0.042927,,,,,,,,,-0.000511,,,,,,,,,0.000000,,,,,,,,,-0.003280,,,,,,,,,-0.017356,,,,,,,,
0.355263,,0.009591,,,,,,,,,0.004095,,,,,,,,,0.012911,,,,,,,,,-0.094157,,,,,,,,,0.035134,,,,,,,,,-0.002026,,,,,,,,,0.000000,,,,,,,,,0.012207,,,,,,,,,-0.008953,,,,,,,,
0.368421,,0.005363,,,,,,,,,-0.016557,,,,,,,,,0.041583,,,,,,,,,-0.090165,,,,,,,,,0.050217,,,,,,,,,-0.011496,,,,,,,,,0.000000,,,,,,,,,0.027645,,,,,,,,,0.000277,,,,,,,,
0.381579,,0.001754,,,,,,,,,-0.034544,,,,,,,,,0.056735,,,,,,,,,-0.079814,,,,,,,,,0.050217,,,,,,,,,-0.011875,,,,,,,,,0.000000,,,,,,,,,0.039616,,,,,,,,,0.008285,,,,,,,,
0.394737,,0.000787,,,,,,,,,-0.047592,,,,,,,,,0.061923,,,,,,,,,-0.069758,,,,,,,,,0.050971,,,,,,,,,-0.011875,,,,,,,,,0.000000,,,,,,,,,0.048804,,,,,,,,,0.016496,,,,,,,,
0.407895,,-0.001863,,,,,,,,,-0.060263,,,,,,,,,0.072094,,,,,,,,,-0.059112,,,,,,,,,0.049965,,,,,,,,,-0.011875,,,,,,,,,0.000000,,,,,,,,,0.055172,,,,,,,,,0.022219,,,,,,,,
