Relative Time (to start of segment),aclx 1,aclx 2,aclx 3,aclx 4,aclx 5,aclx 6,acly 1,acly 2,acly 3,acly 4,acly 5,acly 6,aclz 1,aclz 2,aclz 3,aclz 4,aclz 5,aclz 6,gyrx 1,gyrx 2,gyrx 3,gyrx 4,gyrx 5,gyrx 6,gyry 1,gyry 2,gyry 3,gyry 4,gyry 5,gyry 6,gyrz 1,gyrz 2,gyrz 3,gyrz 4,gyrz 5,gyrz 6,magr 1,magr 2,magr 3,magr 4,magr 5,magr 6,magphi 1,magphi 2,magphi 3,magphi 4,magphi 5,magphi 6,magtheta 1,magtheta 2,magtheta 3,magtheta 4,magtheta 5,magtheta 6,
0.800000,,,-0.920263,,,,,,-0.984696,,,,,,0.951282,,,,,,-1.709682,,,,,,1.482408,,,,,,-0.908531,,,,,,0.000000,,,,,,0.699797,,,,,,0.646768,,,,
0.900000,,,-1.156832,,,,,,-1.297284,,,,,,0.655725,,,,,,-1.493086,,,,,,1.249566,,,,,,-0.639275,,,,,,0.000000,,,,,,0.833406,,,,,,0.874671,,,,
1.000000,,,-1.250037,,,,,,-1.569653,,,,,,0.870443,,,,,,-1.129969,,,,,,0.691829,,,,,,-0.247630,,,,,,0.000000,,,,,,0.955845,,,,,,1.036035,,,,
1.100000,,,-1.271172,,,,,,-1.740188,,,,,,1.431226,,,,,,-0.607590,,,,,,0.215315,,,,,,0.192971,,,,,,0.000000,,,,,,1.037028,,,,,,1.153435,,,,
1.200000,,,-1.314982,,,,,,-1.799918,,,,,,1.715448,,,,,,0.118644,,,,,,-0.477795,,,,,,0.600935,,,,,,0.000000,,,,,,1.068478,,,,,,1.199477,,,,
1.300000,,,-1.241723,,,,,,-1.685304,,,,,,1.758851,,,,,,0.848063,,,,,,-0.900159,,,,,,0.886510,,,,,,0.000000,,,,,,1.045763,,,,,,1.134887,,,,
1.400000,,,-1.112438,,,,,,-1.461248,,,,,,1.431623,,,,,,1.494666,,,,,,-1.095096,,,,,,0.992581,,,,,,0.000000,,,,,,0.981222,,,,,,1.036299,,,,
1.500000,,,-1.001106,,,,,,-1.138654,,,,,,0.869010,,,,,,1.934229,,,,,,-1.544535,,,,,,1.090492,,,,,,0.000000,,,,,,0.805660,,,,,,0.875325,,,,
1.600000,,,-0.808163,,,,,,-0.732788,,,,,,0.622196,,,,,,2.214530,,,,,,-2.069783,,,,,,1.082333,,,,,,0.000000,,,,,,0.583509,,,,,,0.636898,,,,
1.700000,,,-0.572207,,,,,,-0.306293,,,,,,0.247611,,,,,,2.303716,,,,,,-2.205156,,,,,,1.041536,,,,,,0.000000,,,,,,0.335633,,,,,,0.335877,,,,
1.800000,,,-0.324406,,,,,,0.103100,,,,,,-0.386607,,,,,,2.166751,,,,,,-2.215985,,,,,,1.033377,,,,,,0.000000,,,,,,0.084755,,,,,,0.011290,,,,
1.900000,,,-0.022884,,,,,,0.474775,,,,,,-1.100323,,,,,,1.822746,,,,,,-2.096857,,,,,,0.878351,,,,,,0.000000,,,,,,-0.095280,,,,,,-0.298990,,,,
2.000000,,,0.273459,,,,,,0.764390,,,,,,-1.708958,,,,,,1.278070,,,,,,-1.739472,,,,,,0.592776,,,,,,0.000000,,,,,,-0.201399,,,,,,-0.576917,,,,
2.100000,,,0.519221,,,,,,0.931677,,,,,,-1.912114,,,,,,0.704727,,,,,,-1.392917,,,,,,0.380635,,,,,,0.000000,,,,,,-0.245403,,,,,,-0.767098,,,,
2.200000,,,0.718358,,,,,,0.985744,,,,,,-1.539890,,,,,,0.242868,,,,,,-1.257544,,,,,,0.225608,,,,,,0.000000,,,,,,-0.257831,,,,,,-0.909003,,,,
2.300000,,,0.961815,,,,,,0.981022,,,,,,-1.100721,,,,,,-0.034247,,,,,,-1.078851,,,,,,0.184812,,,,,,0.000000,,,,,,-0.161886,,,,,,-1.043507,,,,
0.000000,,,,0.749985,,,,,,0.956716,,,,,,-0.390794,,,,,,-0.601220,,,,,,1.433673,,,,,,0.380635,,,,,,0.000000,,,,,,-0.186313,,,,,,-0.863803,,,
0.100000,,,,0.570768,,,,,,0.856848,,,,,,-0.254639,,,,,,-0.792334,,,,,,1.531142,,,,,,-0.011011,,,,,,0.000000,,,,,,-0.173158,,,,,,-0.691141,,,
0.200000,,,,0.313331,,,,,,0.673483,,,,,,-0.093428,,,,,,-1.047153,,,,,,1.666515,,,,,,-0.337382,,,,,,0.000000,,,,,,-0.136567,,,,,,-0.478819,,,
0.300000,,,,0.075155,,,,,,0.437768,,,,,,0.150375,,,,,,-1.308342,,,,,,1.736909,,,,,,-0.614797,,,,,,0.000000,,,,,,-0.028093,,,,,,-0.246935,,,
0.400000,,,,-0.142544,,,,,,0.161657,,,,,,0.499898,,,,,,-1.512197,,,,,,1.834378,,,,,,-0.761664,,,,,,0.000000,,,,,,0.156924,,,,,,-0.034826,,,
0.500000,,,,-0.332786,,,,,,-0.162612,,,,,,1.067490,,,,,,-1.582272,,,,,,1.850622,,,,,,-0.933009,,,,,,0.000000,,,,,,0.291112,,,,,,0.136679,,,
0.600000,,,,-0.547976,,,,,,-0.493789,,,,,,1.105871,,,,,,-1.540864,,,,,,1.704419,,,,,,-0.875894,,,,,,0.000000,,,,,,0.445764,,,,,,0.352506,,,
