Time,Column,Value,Is Positive Peak
40137.000000,magr,-0.007224,0
40137.100000,gyry,0.004301,1
40137.200000,acly,0.019027,1
40137.200000,gyry,0.002955,0
40137.200000,magphi,-0.002550,0
40137.200000,magtheta,-0.019102,0
40137.400000,aclz,0.000861,1
40137.400000,gyry,0.007940,1
40137.500000,aclz,-0.000061,0
40137.600000,gyry,0.006803,0
40137.600000,magr,-0.005465,1
40137.700000,aclz,0.007225,1
40137.700000,magr,-0.008288,0
40137.800000,gyrz,-0.001177,0
40138.000000,gyrx,-0.024424,0
40138.000000,magr,-0.007208,1
40138.100000,gyry,0.012682,1
40138.100000,magr,-0.009952,0
40138.300000,aclz,-0.005146,0
40138.300000,magr,-0.009068,1
40138.400000,magr,-0.011728,0
40138.600000,aclz,-0.000922,1
40138.800000,aclx,-0.002107,0
40138.800000,acly,-0.035340,0
40138.800000,gyrz,0.013227,1
40138.900000,magphi,0.036340,1
40138.900000,magtheta,0.019135,1
40139.000000,gyry,-0.006855,0
40139.100000,gyry,-0.006762,1
40139.100000,magr,-0.008468,1
40139.200000,gyrz,0.003479,0
40139.200000,magr,-0.011155,0
40139.300000,gyrx,0.013309,1
40139.300000,gyry,-0.008304,0
40139.300000,gyrz,0.003525,1
40139.400000,aclz,-0.014355,0
40139.400000,gyry,-0.007038,1
40139.400000,gyrz,0.003273,0
40139.500000,gyry,-0.007694,0
40139.500000,gyrz,0.003623,1
40139.600000,gyrz,0.003269,0
40139.700000,gyry,-0.006921,1
40139.700000,magr,-0.008840,1
40139.800000,gyrz,0.003850,1
40139.900000,gyry,-0.007834,0
40139.900000,gyrz,0.003584,0
40139.900000,magr,-0.014058,0
40140.000000,gyrx,0.008859,0
40140.100000,gyry,-0.006117,1
40140.300000,aclz,-0.001947,1
40140.300000,magr,-0.011671,1
40140.400000,gyry,-0.007389,0
40140.400000,magr,-0.014212,0
40140.500000,gyrz,0.010042,1
40140.600000,gyrx,0.013153,1
40140.600000,gyry,-0.001009,1
40140.600000,gyrz,0.009691,0
40140.800000,gyry,-0.009993,0
40140.900000,gyrz,0.017658,1
40140.900000,magr,-0.011263,1
40141.000000,aclx,0.025911,1
40141.000000,magr,-0.013822,0
40141.000000,magtheta,-0.018777,0
40141.100000,acly,0.011536,1
40141.100000,aclz,-0.014426,0
40141.100000,gyry,0.005227,1
