Relative Time (to start of segment),aclx 1,aclx 2,aclx 3,aclx 4,aclx 5,aclx 6,aclx 7,aclx 8,aclx 9,aclx 10,aclx 11,aclx 12,aclx 13,aclx 14,acly 1,acly 2,acly 3,acly 4,acly 5,acly 6,acly 7,acly 8,acly 9,acly 10,acly 11,acly 12,acly 13,acly 14,aclz 1,aclz 2,aclz 3,aclz 4,aclz 5,aclz 6,aclz 7,aclz 8,aclz 9,aclz 10,aclz 11,aclz 12,aclz 13,aclz 14,gyrx 1,gyrx 2,gyrx 3,gyrx 4,gyrx 5,gyrx 6,gyrx 7,gyrx 8,gyrx 9,gyrx 10,gyrx 11,gyrx 12,gyrx 13,gyrx 14,gyry 1,gyry 2,gyry 3,gyry 4,gyry 5,gyry 6,gyry 7,gyry 8,gyry 9,gyry 10,gyry 11,gyry 12,gyry 13,gyry 14,gyrz 1,gyrz 2,gyrz 3,gyrz 4,gyrz 5,gyrz 6,gyrz 7,gyrz 8,gyrz 9,gyrz 10,gyrz 11,gyrz 12,gyrz 13,gyrz 14,magr 1,magr 2,magr 3,magr 4,magr 5,magr 6,magr 7,magr 8,magr 9,magr 10,magr 11,magr 12,magr 13,magr 14,magphi 1,magphi 2,magphi 3,magphi 4,magphi 5,magphi 6,magphi 7,magphi 8,magphi 9,magphi 10,magphi 11,magphi 12,magphi 13,magphi 14,magtheta 1,magtheta 2,magtheta 3,magtheta 4,magtheta 5,magtheta 6,magtheta 7,magtheta 8,magtheta 9,magtheta 10,magtheta 11,magtheta 12,magtheta 13,magtheta 14,
0.857143,0.008204,,,,,,,,,,,,,,0.175966,,,,,,,,,,,,,,0.251973,,,,,,,,,,,,,,-1.659605,,,,,,,,,,,,,,1.154578,,,,,,,,,,,,,,-1.335743,,,,,,,,,,,,,,0.000000,,,,,,,,,,,,,,-0.365858,,,,,,,,,,,,,,-0.117598,,,,,,,,,,,,,,
0.870130,-0.274698,,,,,,,,,,,,,,-0.162470,,,,,,,,,,,,,,0.819817,,,,,,,,,,,,,,-1.538199,,,,,,,,,,,,,,1.104454,,,,,,,,,,,,,,-1.267194,,,,,,,,,,,,,,0.000000,,,,,,,,,,,,,,0.047657,,,,,,,,,,,,,,0.180213,,,,,,,,,,,,,,
0.883117,-0.560970,,,,,,,,,,,,,,-0.446015,,,,,,,,,,,,,,0.944599,,,,,,,,,,,,,,-1.518511,,,,,,,,,,,,,,1.016736,,,,,,,,,,,,,,-1.193749,,,,,,,,,,,,,,0.000000,,,,,,,,,,,,,,0.359327,,,,,,,,,,,,,,0.496204,,,,,,,,,,,,,,
0.896104,-0.765873,,,,,,,,,,,,,,-0.743176,,,,,,,,,,,,,,1.092918,,,,,,,,,,,,,,-1.275699,,,,,,,,,,,,,,0.759849,,,,,,,,,,,,,,-0.958724,,,,,,,,,,,,,,0.000000,,,,,,,,,,,,,,0.701681,,,,,,,,,,,,,,0.761764,,,,,,,,,,,,,,
0.909091,-0.925696,,,,,,,,,,,,,,-0.998045,,,,,,,,,,,,,,1.231862,,,,,,,,,,,,,,-0.990230,,,,,,,,,,,,,,0.637672,,,,,,,,,,,,,,-0.757974,,,,,,,,,,,,,,0.000000,,,,,,,,,,,,,,0.991760,,,,,,,,,,,,,,0.971058,,,,,,,,,,,,,,
0.922078,-1.035287,,,,,,,,,,,,,,-1.193943,,,,,,,,,,,,,,1.316521,,,,,,,,,,,,,,-0.701480,,,,,,,,,,,,,,0.593813,,,,,,,,,,,,,,-0.664943,,,,,,,,,,,,,,0.000000,,,,,,,,,,,,,,1.209641,,,,,,,,,,,,,,1.121120,,,,,,,,,,,,,,
0.935065,-1.098404,,,,,,,,,,,,,,-1.311937,,,,,,,,,,,,,,1.215112,,,,,,,,,,,,,,-0.406167,,,,,,,,,,,,,,0.471635,,,,,,,,,,,,,,-0.483778,,,,,,,,,,,,,,0.000000,,,,,,,,,,,,,,1.338294,,,,,,,,,,,,,,1.181167,,,,,,,,,,,,,,
0.948052,-1.170009,,,,,,,,,,,,,,-1.388268,,,,,,,,,,,,,,1.195662,,,,,,,,,,,,,,-0.189605,,,,,,,,,,,,,,0.496697,,,,,,,,,,,,,,-0.278132,,,,,,,,,,,,,,0.000000,,,,,,,,,,,,,,1.411675,,,,,,,,,,,,,,1.282385,,,,,,,,,,,,,,
0.961039,-1.190196,,,,,,,,,,,,,,-1.407578,,,,,,,,,,,,,,1.287293,,,,,,,,,,,,,,0.030239,,,,,,,,,,,,,,0.333793,,,,,,,,,,,,,,-0.165516,,,,,,,,,,,,,,0.000000,,,,,,,,,,,,,,1.429602,,,,,,,,,,,,,,1.329403,,,,,,,,,,,,,,
0.974026,-1.263873,,,,,,,,,,,,,,-1.405968,,,,,,,,,,,,,,0.961298,,,,,,,,,,,,,,0.040083,,,,,,,,,,,,,,0.349457,,,,,,,,,,,,,,-0.043107,,,,,,,,,,,,,,0.000000,,,,,,,,,,,,,,1.425136,,,,,,,,,,,,,,1.376393,,,,,,,,,,,,,,
