Time,Column,Value,Is Positive Peak
40310.000000,gyry,0.018650,1
40310.000000,magr,-0.013497,0
40310.200000,aclz,0.001972,1
40310.200000,gyrx,-0.009707,0
40310.200000,gyry,0.016880,0
40310.300000,gyry,0.016916,1
40310.400000,magr,-0.011206,1
40310.500000,magr,-0.014113,0
40310.800000,aclz,-0.004455,0
40311.000000,magr,-0.004661,1
40311.100000,magr,-0.007866,0
40311.100000,magphi,-0.029457,0
40311.300000,gyrz,-0.000704,1
40311.300000,magphi,-0.028576,1
40311.400000,aclz,0.002230,1
40311.500000,aclx,-0.034764,0
40311.500000,magr,-0.000008,1
40311.500000,magphi,-0.028953,0
40311.600000,magr,-0.003424,0
40311.700000,gyrx,-0.001338,1
40311.800000,gyrx,-0.001375,0
40311.900000,acly,-0.000236,0
40311.900000,gyry,-0.011676,0
40311.900000,magtheta,0.032122,1
40312.000000,gyrz,-0.008828,0
40312.100000,gyry,-0.010319,1
40312.200000,gyrx,0.010275,1
40312.300000,aclz,-0.008616,0
40312.300000,magr,-0.002473,1
40312.400000,acly,0.007373,1
40312.400000,gyry,-0.011641,0
40312.400000,magr,-0.009193,0
40312.600000,acly,0.006399,0
40312.600000,gyrz,0.005194,1
40312.700000,acly,0.006497,1
40312.700000,gyrx,0.003751,0
40312.700000,gyry,-0.011314,1
40312.700000,gyrz,0.005030,0
40312.800000,gyry,-0.012000,0
40312.900000,acly,0.003201,0
40312.900000,aclz,-0.002284,1
40312.900000,gyry,-0.010451,1
40313.000000,gyrx,0.008230,1
40313.000000,gyry,-0.011026,0
40313.000000,gyrz,0.007610,1
40313.100000,gyrz,0.007221,0
40313.200000,magr,-0.006336,1
40313.300000,acly,0.007068,1
40313.300000,magr,-0.009465,0
40313.300000,magtheta,-0.001285,0
40313.400000,acly,0.006493,0
40313.400000,aclz,-0.009416,0
40313.400000,gyrx,0.003977,0
40313.400000,gyry,-0.002714,1
40313.400000,gyrz,0.010850,1
40313.400000,magphi,-0.007097,1
40313.500000,aclx,-0.002311,1
40313.500000,gyry,-0.003991,0
40313.700000,aclz,-0.005288,1
40313.700000,gyrx,0.009826,1
40313.800000,aclz,-0.005426,0
40313.900000,magr,-0.000327,1
40314.000000,gyry,0.008520,1
40314.000000,magr,-0.003728,0
40314.100000,magr,0.003274,1
40314.200000,gyry,0.007027,0
40314.200000,gyrz,-0.005264,0
40314.200000,magr,-0.000291,0
40314.300000,magtheta,0.009437,1
40314.400000,acly,0.020275,1
40314.400000,gyry,0.008113,1
40314.400000,magr,-0.000265,1
40314.400000,magtheta,0.009129,0
40314.500000,aclz,0.004717,1
40314.500000,magr,-0.003670,0
40314.600000,aclz,0.004253,0
40314.600000,gyry,0.007120,0
40314.700000,gyry,0.007899,1
40315.000000,gyrx,-0.006942,0
40315.000000,magphi,-0.028654,0
40315.100000,aclx,-0.026511,0
40315.200000,gyrz,0.007291,1
40315.200000,magtheta,0.017587,1
40315.300000,aclz,0.016403,1
40315.500000,acly,0.006879,0
40315.700000,gyry,-0.016559,0
40315.800000,gyry,-0.014303,1
40315.800000,gyrz,-0.010546,0
40315.800000,magr,0.004829,1
40315.900000,gyrx,0.008288,1
40316.100000,gyry,-0.018120,0
40316.200000,acly,0.015783,1
40316.300000,aclz,0.000013,0
40316.300000,magr,0.003827,0
40316.400000,aclz,0.000559,1
40316.400000,gyrz,0.005664,1
40316.400000,magr,0.010486,1
40316.500000,aclz,-0.000343,0
40316.500000,gyrx,0.003489,0
40316.500000,gyrz,0.005018,0
40316.600000,gyrx,0.003795,1
40316.600000,gyrz,0.006015,1
40316.700000,aclz,0.003661,1
40316.700000,gyrx,0.003712,0
40316.900000,acly,0.009130,0
40316.900000,gyrx,0.006482,1
40317.000000,gyrx,0.006370,0
40317.100000,gyrx,0.006826,1
40317.200000,aclx,0.022817,1
40317.200000,magphi,0.014580,1
40317.300000,gyry,0.002010,1
40317.300000,magtheta,-0.029048,0
40317.400000,acly,0.016885,1
40317.400000,aclz,-0.009605,0
40317.400000,gyry,0.001720,0
